Well_ID;Treatment;N_Source;Pair;Dose (uM);Time;OD520;OD530;OD540;OD550;OD560;OD570
G11;scrambled_miRNA;L-Lysine;1;2;20;0.374949992;0.305750012;0.245250002;0.207049996;0.177550003;0.152999997
G12;control;L-Lysine;1;2;20;0.622350007;0.510549992;0.410799995;0.348700002;0.301349998;0.261150002
H1;plant_miRNA;L-Lysine;2;2;20;0.449300006;0.360550001;0.283449993;0.235349998;0.198200002;0.167800002
H2;scrambled_miRNA;L-Lysine;2;2;20;0.405499995;0.329999998;0.264149994;0.221050002;0.186899997;0.158599995
H3;control;L-Lysine;2;2;20;0.570649981;0.470350012;0.378849998;0.321050003;0.275599986;0.237300001
H4;plant_miRNA;L-Lysine;3;2;20;0.412699997;0.335200012;0.267250001;0.223650001;0.189450003;0.161250003
H5;scrambled_miRNA;L-Lysine;3;2;20;0.441950008;0.361700013;0.290249988;0.243999995;0.207099997;0.176749997
H6;control;L-Lysine;3;2;20;0.576600015;0.475249991;0.383499995;0.324900001;0.278750002;0.240099996
H7;plant_miRNA;L-Lysine;4;2;20;0.444049999;0.362500012;0.289849997;0.243550003;0.207149997;0.176999994
H8;scrambled_miRNA;L-Lysine;4;2;20;0.433200002;0.352400005;0.280849993;0.23505;0.199249998;0.169999994
H9;control;L-Lysine;4;2;20;0.571050018;0.472299993;0.382699996;0.324750006;0.279799998;0.241750002
H10;plant_miRNA;L-Lysine;5;2;20;0.361900002;0.296549991;0.239;0.201449998;0.172250003;0.147349998
H11;scrambled_miRNA;L-Lysine;5;2;20;0.3873;0.316249996;0.253899999;0.214299999;0.183450006;0.157399997
H12;control;L-Lysine;5;2;20;0.639400005;0.522200018;0.417100012;0.351500005;0.301599994;0.260050014
