Well_ID;Treatment;N_Source;Pair;Dose (uM);Time;OD520;OD530;OD540;OD550;OD560;OD570
A1;plant_miRNA;L-Lysine;1;2;22;0.34709999;0.283399999;0.2271;0.1928;0.165600002;0.142700002
A2;scrambled_miRNA;L-Lysine;1;2;22;0.319900006;0.265300006;0.216499999;0.184200004;0.158199996;0.136800006
A3;control;L-Lysine;1;2;22;0.620400012;0.526600003;0.438300014;0.380600005;0.333200008;0.292400002
A4;plant_miRNA;L-Lysine;2;2;22;0.360000014;0.296200007;0.238999993;0.201700002;0.170699999;0.147300005
A5;scrambled_miRNA;L-Lysine;2;2;22;0.38440001;0.316300005;0.255400002;0.216100007;0.185100004;0.158999994
A6;control;L-Lysine;2;2;22;0.62440002;0.5255;0.434700012;0.374799997;0.326400012;0.28670001
A7;plant_miRNA;L-Lysine;3;2;22;0.356299996;0.293199986;0.235300004;0.199200004;0.1699;0.145899996
A8;scrambled_miRNA;L-Lysine;3;2;22;0.384799987;0.320100009;0.260899991;0.221699998;0.189899996;0.164399996
A9;control;L-Lysine;3;2;22;0.594500005;0.506299973;0.430200011;0.383100003;0.345400006;0.308800012
A10;plant_miRNA;L-Lysine;4;2;22;0.367199987;0.307900012;0.257099986;0.222599998;0.194299996;0.171000004
A11;scrambled_miRNA;L-Lysine;4;2;22;0.369800001;0.309399992;0.255699992;0.220699996;0.1928;0.169
A12;control;L-Lysine;4;2;22;0.690599978;0.588500023;0.50059998;0.449900001;0.408199996;0.369399995
B1;plant_miRNA;L-Lysine;5;2;22;0.272599995;0.227400005;0.187000006;0.161500007;0.140200004;0.122599997
B2;scrambled_miRNA;L-Lysine;5;2;22;0.252099991;0.212200001;0.176599994;0.152799994;0.1329;0.116700001
B3;control;L-Lysine;5;2;22;0.533800006;0.452199996;0.379799992;0.333600014;0.296400011;0.264099985
B10;plant_miRNA;L-Lysine;1;2;28;0.050799999;0.0506;0.049699999;0.049699999;0.050099999;0.049800001
B11;scrambled_miRNA;L-Lysine;1;2;28;0.050900001;0.050700001;0.049899999;0.049600001;0.0504;0.0495
B12;control;L-Lysine;1;2;28;0.673500001;0.574800014;0.482899994;0.423900008;0.378699988;0.340700001
C1;plant_miRNA;L-Lysine;2;2;28;0.048999999;0.0471;0.0469;0.046799999;0.0473;0.0469
C2;scrambled_miRNA;L-Lysine;2;2;28;0.0814;0.0726;0.066299997;0.0616;0.058200002;0.055
C3;control;L-Lysine;2;2;28;0.595499992;0.500400007;0.417100012;0.365700006;0.324099988;0.286799997
C4;plant_miRNA;L-Lysine;3;2;28;0.048;0.0462;0.0458;0.045299999;0.045299999;0.045600001
C5;scrambled_miRNA;L-Lysine;3;2;28;0.048999999;0.047200002;0.046599999;0.046500001;0.046799999;0.046300001
C6;control;L-Lysine;3;2;28;0.582400024;0.487399995;0.40200001;0.345999986;0.299800009;0.261799991
C7;plant_miRNA;L-Lysine;4;2;28;0.059999999;0.0557;0.0528;0.050900001;0.0502;0.0491
C8;scrambled_miRNA;L-Lysine;4;2;28;0.094499998;0.082000002;0.072899997;0.0669;0.0623;0.058600001
C9;control;L-Lysine;4;2;28;0.585099995;0.499900013;0.426400006;0.375699997;0.335900009;0.301299989
C10;plant_miRNA;L-Lysine;5;2;28;0.047200002;0.0451;0.0447;0.044399999;0.044599999;0.044500001
C11;scrambled_miRNA;L-Lysine;5;2;28;0.048099998;0.0462;0.045499999;0.0451;0.045899998;0.0451
C12;control;L-Lysine;5;2;28;0.60680002;0.521700025;0.442600012;0.395200014;0.35620001;0.32100001
D1;std;L-Lysine;N.A.;0;2;0.045499999;0.045200001;0.044500001;0.0447;0.0451;0.044599999
D2;std;L-Lysine;N.A.;62.5;2;0.054499999;0.051100001;0.048500001;0.047400001;0.046599999;0.0458
D3;std;L-Lysine;N.A.;125;2;0.066500001;0.0601;0.0548;0.052299999;0.050700001;0.0491
D4;std;L-Lysine;N.A.;250;2;0.087499999;0.0748;0.065499999;0.060600001;0.0572;0.054699998
D5;std;L-Lysine;N.A.;500;2;0.130799994;0.1065;0.088100001;0.078599997;0.071599998;0.065800004
