Well_ID;Treatment;N_Source;Pair;Dose (uM);Time;OD520;OD530;OD540;OD550;OD560;OD570
A1;plant_miRNA;L-Lysine;1;2;0;0.608500004;0.495700002;0.400099993;0.33860001;0.290600002;0.250800014
A2;scrambled_miRNA;L-Lysine;1;2;0;0.564100027;0.46540001;0.380699992;0.324000001;0.278600007;0.241300002
A3;control;L-Lysine;1;2;0;0.590699971;0.489600003;0.402200013;0.343199998;0.296499997;0.257099986
A4;plant_miRNA;L-Lysine;2;2;0;0.606299996;0.501699984;0.408899993;0.346500009;0.296799988;0.256500006
A5;scrambled_miRNA;L-Lysine;2;2;0;0.63440001;0.52609998;0.431699991;0.368499994;0.318800002;0.276600003
A6;control;L-Lysine;2;2;0;0.641600013;0.528599977;0.428200006;0.360900015;0.309100002;0.265799999
A7;plant_miRNA;L-Lysine;3;2;0;0.568300009;0.468699992;0.379999995;0.32190001;0.2755;0.238100007
A8;scrambled_miRNA;L-Lysine;3;2;0;0.576099992;0.473199993;0.383399993;0.324000001;0.27700001;0.239500001
B1;control;L-Lysine;3;2;0;0.601400018;0.488299996;0.39289999;0.331699997;0.283699989;0.244200006
B2;plant_miRNA;L-Lysine;4;2;0;0.549099982;0.452300012;0.370999992;0.316700011;0.272599995;0.236599997
B3;scrambled_miRNA;L-Lysine;4;2;0;0.619000018;0.509299994;0.416200012;0.352999985;0.302100003;0.260100007
B4;control;L-Lysine;4;2;0;0.653199971;0.539699972;0.443699986;0.377999991;0.324999988;0.282200009
B5;plant_miRNA;L-Lysine;5;2;0;0.625699997;0.512499988;0.415300012;0.348500013;0.294499993;0.251100004
B6;scrambled_miRNA;L-Lysine;5;2;0;0.64200002;0.536599994;0.449000001;0.389699996;0.341600001;0.299299985
B7;control;L-Lysine;5;2;0;0.569299996;0.463699996;0.373800009;0.313800007;0.265599996;0.227200001
C1;plant_miRNA;L-Lysine;1;2;20;0.370599985;0.297800004;0.237900004;0.199699998;0.169100001;0.144500002
C2;scrambled_miRNA;L-Lysine;1;2;20;0.368600011;0.302100003;0.246199995;0.2086;0.177399993;0.152500004
C3;control;L-Lysine;1;2;20;0.625800014;0.524800003;0.43720001;0.378399998;0.329600006;0.288300008
C4;plant_miRNA;L-Lysine;2;2;20;0.453500003;0.375200003;0.307399988;0.261000007;0.222599998;0.191699997
C5;scrambled_miRNA;L-Lysine;2;2;20;0.432900012;0.358099997;0.294;0.249799997;0.213400006;0.183599994
C6;control;L-Lysine;2;2;20;0.661300004;0.555999994;0.466399997;0.405000001;0.355599999;0.312299997
C7;plant_miRNA;L-Lysine;3;2;20;0.4454;0.369100004;0.301999986;0.256300002;0.218999997;0.188800007
C8;scrambled_miRNA;L-Lysine;3;2;20;0.370400012;0.301699996;0.2447;0.206699997;0.175899997;0.151099995
D1;control;L-Lysine;3;2;20;0.537400007;0.434899986;0.352200001;0.298000008;0.255199999;0.219500005
D2;plant_miRNA;L-Lysine;4;2;20;0.434700012;0.3583;0.293199986;0.247899994;0.211500004;0.181700006
D3;scrambled_miRNA;L-Lysine;4;2;20;0.397300005;0.327800006;0.268400013;0.226300001;0.192100003;0.164199993
D4;control;L-Lysine;4;2;20;0.674099982;0.561999977;0.464100003;0.398000002;0.344999999;0.298999995
D5;plant_miRNA;L-Lysine;5;2;20;0.458700001;0.379599988;0.311100006;0.263099998;0.224600002;0.192599997
D6;scrambled_miRNA;L-Lysine;5;2;20;0.428799987;0.354699999;0.291000009;0.245800003;0.209600002;0.179700002
D7;control;L-Lysine;5;2;20;0.585500002;0.484899998;0.396899998;0.337500006;0.289799988;0.250499994
E1;std;L-Lysine;N.A.;0;2;0.052900001;0.0526;0.0528;0.053199999;0.0528;0.051800001
E2;std;L-Lysine;N.A.;62.5;2;0.0601;0.057500001;0.056299999;0.055399999;0.055100001;0.0537
E3;std;L-Lysine;N.A.;125;2;0.068099998;0.063100003;0.060400002;0.059;0.057999998;0.056000002
E4;std;L-Lysine;N.A.;250;2;0.080300003;0.071800001;0.066699997;0.064099997;0.0616;0.058499999
E5;std;L-Lysine;N.A.;500;2;0.123099998;0.103799999;0.090700001;0.082199998;0.0757;0.070299998
E6;std;L-Lysine;N.A.;1000;2;0.182799995;0.150700003;0.127200007;0.111599997;0.0999;0.089400001
E7;std;L-Lysine;N.A.;2000;2;0.308699995;0.249899998;0.204400003;0.173199996;0.149599999;0.129500002
E8;std;L-Lysine;N.A.;4000;2;0.541899979;0.449000001;0.36680001;0.310200006;0.263900012;0.226300001
G1;plant_miRNA;L-Lysine;1;2;22;0.249200001;0.2042;0.167300001;0.143900007;0.124700002;0.1087
G2;scrambled_miRNA;L-Lysine;1;2;22;0.229900002;0.189799994;0.157299995;0.135600001;0.1184;0.103100002
G3;control;L-Lysine;1;2;22;0.555000007;0.458499998;0.378199995;0.324299991;0.281399995;0.244100004
G4;plant_miRNA;L-Lysine;2;2;22;0.335999995;0.277099997;0.227699995;0.195600003;0.167300001;0.144800007
G5;scrambled_miRNA;L-Lysine;2;2;22;0.281100005;0.2333;0.193399996;0.166600004;0.144299999;0.125799999
G6;control;L-Lysine;2;2;22;0.518999994;0.437400013;0.371499985;0.326900005;0.292600006;0.263099998
G7;plant_miRNA;L-Lysine;3;2;22;0.272399992;0.225899994;0.187600002;0.161599994;0.140400007;0.122500002
G8;scrambled_miRNA;L-Lysine;3;2;22;0.267800003;0.222100005;0.184100002;0.158399999;0.137099996;0.119900003
H1;control;L-Lysine;3;2;22;0.0447;0.0436;0.043299999;0.043400001;0.043400001;0.0425
H2;plant_miRNA;L-Lysine;4;2;22;0.262100011;0.216800004;0.179100007;0.153200001;0.133000001;0.115099996
H3;scrambled_miRNA;L-Lysine;4;2;22;0.215900004;0.179199994;0.149700001;0.129099995;0.113300003;0.099200003
H4;control;L-Lysine;4;2;22;0.518899977;0.429199994;0.351900011;0.300900012;0.260500014;0.226999998
H5;plant_miRNA;L-Lysine;5;2;22;0.29370001;0.241999999;0.198400006;0.169;0.145600006;0.125699997
H6;scrambled_miRNA;L-Lysine;5;2;22;0.261000007;0.215499997;0.178299993;0.152199998;0.132200003;0.114500001
H7;control;L-Lysine;5;2;22;0.600000024;0.509000003;0.430000007;0.379799992;0.340000004;0.307399988
A10;scrambled_miRNA;L-Lysine;3;2;28;0.124600001;0.111000001;0.0999;0.091399997;0.085500002;0.080399998
A11;control;L-Lysine;5;2;28;0.602800012;0.507000029;0.423799992;0.370299995;0.329100013;0.291599989
B10;plant_miRNA;L-Lysine;3;2;28;0.049899999;0.049699999;0.049800001;0.049899999;0.049800001;0.050000001
B11;scrambled_miRNA;L-Lysine;5;2;28;0.051800001;0.051600002;0.052099999;0.051600002;0.0513;0.050999999
C10;control;L-Lysine;2;2;28;0.585099995;0.485399991;0.402500004;0.346700013;0.301400006;0.263200015
C11;plant_miRNA;L-Lysine;5;2;28;0.050500002;0.0491;0.0482;0.047699999;0.047600001;0.0473
D10;scrambled_miRNA;L-Lysine;2;2;28;0.053399999;0.0515;0.050299998;0.048900001;0.047899999;0.047200002
D11;control;L-Lysine;4;2;28;0.490399987;0.404300004;0.329899997;0.280000001;0.240799993;0.208299994
E10;plant_miRNA;L-Lysine;2;2;28;0.091399997;0.083899997;0.077699997;0.074000001;0.069899999;0.066
E11;scrambled_miRNA;L-Lysine;4;2;28;0.057300001;0.056600001;0.057399999;0.056699999;0.0592;0.0603
F10;control;L-Lysine;1;2;28;0.537999988;0.454899997;0.387699991;0.344300002;0.309300005;0.278499991
F11;plant_miRNA;L-Lysine;4;2;28;0.064999998;0.061299998;0.058600001;0.057100002;0.056000002;0.0546
G10;scrambled_miRNA;L-Lysine;1;2;28;0.048999999;0.0482;0.0473;0.047699999;0.047400001;0.046999998
G11;control;L-Lysine;3;2;28;0.549300015;0.452100009;0.367000014;0.311399996;0.26730001;0.231299996
H10;plant_miRNA;L-Lysine;1;2;28;0.048099998;0.047699999;0.047200002;0.0471;0.046999998;0.046500001
