Well_ID;Treatment;N_souce;miRNA;Pair;Dose(uM);Time;OD_600
C4;scrambled_miRNA;Proline;5642b;5;2;5;0.172499999
D1;scrambled_miRNA;Proline;5642b;4;2;5;0.149900004
D2;plant_miRNA;Proline;5642b;4;2;5;0.171499997
D4;N.A.;Proline;N.A.;5;N.A.;5;0.110399999
A1;plant_miRNA;Proline;5642b;1;2;6;0.198599994
A2;scrambled_miRNA;Proline;5642b;1;2;6;0.197799996
A4;N.A.;Proline;N.A.;2;N.A.;6;0.163499996
A5;plant_miRNA;Proline;5642b;3;2;6;0.210700005
B1;N.A.;Proline;N.A.;1;N.A.;6;0.089500003
B3;scrambled_miRNA;Proline;5642b;2;2;6;0.156100005
B4;plant_miRNA;Proline;5642b;2;2;6;0.154699996
B5;scrambled_miRNA;Proline;5642b;3;2;6;0.185200006
B6;N.A.;Proline;N.A.;3;N.A.;6;0.0867
C2;N.A.;Proline;N.A.;4;N.A.;6;0.170499995
C3;plant_miRNA;Proline;5642b;5;2;6;0.204500005
C4;scrambled_miRNA;Proline;5642b;5;2;6;0.1884
D1;scrambled_miRNA;Proline;5642b;4;2;6;0.165999994
D2;plant_miRNA;Proline;5642b;4;2;6;0.184499994
D4;N.A.;Proline;N.A.;5;N.A.;6;0.113600001
A1;plant_miRNA;Proline;5642b;1;2;7;0.199900001
A2;scrambled_miRNA;Proline;5642b;1;2;7;0.202000007
A4;N.A.;Proline;N.A.;2;N.A.;7;0.162200004
A5;plant_miRNA;Proline;5642b;3;2;7;0.216600001
B1;N.A.;Proline;N.A.;1;N.A.;7;0.090800002
B3;scrambled_miRNA;Proline;5642b;2;2;7;0.161400005
B4;plant_miRNA;Proline;5642b;2;2;7;0.162799999
B5;scrambled_miRNA;Proline;5642b;3;2;7;0.191400006
B6;N.A.;Proline;N.A.;3;N.A.;7;0.0867
C2;N.A.;Proline;N.A.;4;N.A.;7;0.171100006
C3;plant_miRNA;Proline;5642b;5;2;7;0.209600002
C4;scrambled_miRNA;Proline;5642b;5;2;7;0.190599993
D1;scrambled_miRNA;Proline;5642b;4;2;7;0.174099997
D2;plant_miRNA;Proline;5642b;4;2;7;0.190400004
D4;N.A.;Proline;N.A.;5;N.A.;7;0.116400003
A1;plant_miRNA;Proline;5642b;1;2;8;0.206300005
A2;scrambled_miRNA;Proline;5642b;1;2;8;0.206499994
A4;N.A.;Proline;N.A.;2;N.A.;8;0.163699999
A5;plant_miRNA;Proline;5642b;3;2;8;0.220500007
B1;N.A.;Proline;N.A.;1;N.A.;8;0.089699998
B3;scrambled_miRNA;Proline;5642b;2;2;8;0.167099997
B4;plant_miRNA;Proline;5642b;2;2;8;0.165900007
B5;scrambled_miRNA;Proline;5642b;3;2;8;0.195800006
B6;N.A.;Proline;N.A.;3;N.A.;8;0.086499996
C2;N.A.;Proline;N.A.;4;N.A.;8;0.166999996
C3;plant_miRNA;Proline;5642b;5;2;8;0.216499999
C4;scrambled_miRNA;Proline;5642b;5;2;8;0.197899997
D1;scrambled_miRNA;Proline;5642b;4;2;8;0.179199994
D2;plant_miRNA;Proline;5642b;4;2;8;0.198200002
D4;N.A.;Proline;N.A.;5;N.A.;8;0.114799999
A1;plant_miRNA;Proline;5642b;1;2;9;0.212500006
A2;scrambled_miRNA;Proline;5642b;1;2;9;0.214900002
A4;N.A.;Proline;N.A.;2;N.A.;9;0.163599998
A5;plant_miRNA;Proline;5642b;3;2;9;0.232800007
B1;N.A.;Proline;N.A.;1;N.A.;9;0.090800002
B3;scrambled_miRNA;Proline;5642b;2;2;9;0.1752
B4;plant_miRNA;Proline;5642b;2;2;9;0.173600003
B5;scrambled_miRNA;Proline;5642b;3;2;9;0.202199996
B6;N.A.;Proline;N.A.;3;N.A.;9;0.086599998
C2;N.A.;Proline;N.A.;4;N.A.;9;0.168599993
C3;plant_miRNA;Proline;5642b;5;2;9;0.226099998
C4;scrambled_miRNA;Proline;5642b;5;2;9;0.204300001
D1;scrambled_miRNA;Proline;5642b;4;2;9;0.184400007
D2;plant_miRNA;Proline;5642b;4;2;9;0.206100002
D4;N.A.;Proline;N.A.;5;N.A.;9;0.116999999
A1;plant_miRNA;Proline;5642b;1;2;10;0.221399993
A2;scrambled_miRNA;Proline;5642b;1;2;10;0.223700002
A4;N.A.;Proline;N.A.;2;N.A.;10;0.162599996
A5;plant_miRNA;Proline;5642b;3;2;10;0.241400003
B1;N.A.;Proline;N.A.;1;N.A.;10;0.0911
B3;scrambled_miRNA;Proline;5642b;2;2;10;0.180999994
B4;plant_miRNA;Proline;5642b;2;2;10;0.181600004
B5;scrambled_miRNA;Proline;5642b;3;2;10;0.203999996
B6;N.A.;Proline;N.A.;3;N.A.;10;0.086300001
C2;N.A.;Proline;N.A.;4;N.A.;10;0.169400007
C3;plant_miRNA;Proline;5642b;5;2;10;0.232899994
C4;scrambled_miRNA;Proline;5642b;5;2;10;0.211300001
D1;scrambled_miRNA;Proline;5642b;4;2;10;0.195700005
D2;plant_miRNA;Proline;5642b;4;2;10;0.2086
D4;N.A.;Proline;N.A.;5;N.A.;10;0.115099996
