Well_ID	Treatment	N_Source	miRNA	Pair	Dose (uM)	Time	OD_600
A1	No_miRNA	mix17AA	N.A.	1	N.A.	4	0.264899999
A2	N.A.	mix17AA	N.A.	1	N.A.	4	0.124300003
A3	scrambled_miRNA	mix17AA	ath827	2	2	4	0.292199999
A4	plant_miRNA	mix17AA	ath827	2	2	4	0.287099987
A5	N.A.	mix17AA	N.A.	3	N.A.	4	0.139300004
A6	No_miRNA	mix17AA	N.A.	3	N.A.	4	0.28639999
B1	plant_miRNA	mix17AA	ath827	1	2	4	0.250200003
B2	scrambled_miRNA	mix17AA	ath827	1	2	4	0.234500006
B3	No_miRNA	mix17AA	N.A.	2	N.A.	4	0.231600001
B4	N.A.	mix17AA	N.A.	2	N.A.	4	0.082999997
B5	plant_miRNA	mix17AA	ath827	3	2	4	0.232600003
B6	scrambled_miRNA	mix17AA	ath827	3	2	4	0.213400006
C3	N.A.	mix17AA	N.A.	4	N.A.	4	0.139699996
C4	No_miRNA	mix17AA	N.A.	4	N.A.	4	0.273799986
C5	No_miRNA	mix17AA	N.A.	5	N.A.	4	0.28490001
C6	N.A.	mix17AA	N.A.	5	N.A.	4	0.132799998
D3	scrambled_miRNA	mix17AA	ath827	4	2	4	0.236399993
D4	plant_miRNA	mix17AA	ath827	4	2	4	0.223399997
D5	scrambled_miRNA	mix17AA	ath827	5	2	4	0.2289
D6	plant_miRNA	mix17AA	ath827	5	2	4	0.216399997
A1	No_miRNA	mix17AA	N.A.	1	N.A.	5	0.226999998
A2	N.A.	mix17AA	N.A.	1	N.A.	5	0.103200004
A3	scrambled_miRNA	mix17AA	ath827	2	2	5	0.237499997
A4	plant_miRNA	mix17AA	ath827	2	2	5	0.229100004
A5	N.A.	mix17AA	N.A.	3	N.A.	5	0.113399997
A6	No_miRNA	mix17AA	N.A.	3	N.A.	5	0.230800003
B1	plant_miRNA	mix17AA	ath827	1	2	5	0.190300003
B2	scrambled_miRNA	mix17AA	ath827	1	2	5	0.200499997
B3	No_miRNA	mix17AA	N.A.	2	N.A.	5	0.199499995
B4	N.A.	mix17AA	N.A.	2	N.A.	5	0.0792
B5	plant_miRNA	mix17AA	ath827	3	2	5	0.187800005
B6	scrambled_miRNA	mix17AA	ath827	3	2	5	0.198699996
C3	N.A.	mix17AA	N.A.	4	N.A.	5	0.120499998
C4	No_miRNA	mix17AA	N.A.	4	N.A.	5	0.224999994
C5	No_miRNA	mix17AA	N.A.	5	N.A.	5	0.227300003
