Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600
D3	plant_miRNA	mix17AA	ath158b	1	2	1	0.0986
D4	scrambled_miRNA	mix17AA	ath5642b	2	2	1	0.0959
D5	plant_miRNA	mix17AA	ath827	2	2	1	0.0985
D6	N.A.	mix17AA	N.A.	3	N.A.	1	0.0959
D7	plant_miRNA	mix17AA	ath5642b	3	2	1	0.0999
D8	plant_miRNA	mix17AA	aof159	4	2	1	0.1012
D9	scrambled_miRNA	mix17AA	ath158b	4	2	1	0.0992
D10	plant_miRNA	mix17AA	ath158a3p	5	2	1	0.0979
D11	N.A.	mix17AA	N.A.	5	N.A.	1	0.0864
E2	plant_miRNA	mix17AA	ath158a3p	1	2	1	0.0939
E3	scrambled_miRNA	mix17AA	ath158b	1	2	1	0.0979
E4	plant_miRNA	mix17AA	ath5642b	2	2	1	0.1051
E5	scrambled_miRNA	mix17AA	ath827	2	2	1	0.1015
E6	N.A.	mix17AA	N.A.	3	N.A.	1	0.091
E7	scrambled_miRNA	mix17AA	ath5642b	3	2	1	0.1012
E8	scrambled_miRNA	mix17AA	aof159	4	2	1	0.0991
E9	plant_miRNA	mix17AA	ath158b	4	2	1	0.1085
E10	scrambled_miRNA	mix17AA	ath158a3p	5	2	1	0.0995
E11	N.A.	mix17AA	N.A.	5	N.A.	1	0.0897
F2	scrambled_miRNA	mix17AA	ath827	1	2	1	0.0976
F3	N.A.	mix17AA	N.A.	1	N.A.	1	0.0892
F4	plant_miRNA	mix17AA	aof159	2	2	1	0.1007
F5	scrambled_miRNA	mix17AA	ath158b	2	2	1	0.0944
F6	scrambled_miRNA	mix17AA	ath158a3p	3	2	1	0.0965
F7	plant_miRNA	mix17AA	ath158b	3	2	1	0.095
F8	N.A.	mix17AA	N.A.	4	N.A.	1	0.0926
F9	plant_miRNA	mix17AA	ath5642b	4	2	1	0.0957
F10	scrambled_miRNA	mix17AA	aof159	5	2	1	0.0971
F11	plant_miRNA	mix17AA	ath827	5	2	1	0.0951
G2	plant_miRNA	mix17AA	ath827	1	2	1	0.0967
G3	N.A.	mix17AA	N.A.	1	N.A.	1	0.1504
G4	scrambled_miRNA	mix17AA	aof159	2	2	1	0.0973
G5	plant_miRNA	mix17AA	ath158b	2	2	1	0.095
G6	plant_miRNA	mix17AA	ath158a3p	3	2	1	0.0955
