Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600
F6	scrambled_miRNA	mix17AA	ath158a3p	3	2	6	0.4799
F7	plant_miRNA	mix17AA	ath158b	3	2	6	0.4736
F8	N.A.	mix17AA	N.A.	4	N.A.	6	0.0996
F9	plant_miRNA	mix17AA	ath5642b	4	2	6	0.423
F10	scrambled_miRNA	mix17AA	aof159	5	2	6	0.4551
F11	plant_miRNA	mix17AA	ath827	5	2	6	0.4669
G2	plant_miRNA	mix17AA	ath827	1	2	6	0.5165
G3	N.A.	mix17AA	N.A.	1	N.A.	6	0.1545
G4	scrambled_miRNA	mix17AA	aof159	2	2	6	0.479
G5	plant_miRNA	mix17AA	ath158b	2	2	6	0.4802
G6	plant_miRNA	mix17AA	ath158a3p	3	2	6	0.4866
G7	scrambled_miRNA	mix17AA	ath158b	3	2	6	0.4878
G8	N.A.	mix17AA	N.A.	4	N.A.	6	0.0849
G9	scrambled_miRNA	mix17AA	ath5642b	4	2	6	0.4311
G10	plant_miRNA	mix17AA	aof159	5	2	6	0.4709
G11	scrambled_miRNA	mix17AA	ath827	5	2	6	0.4689
B2	scrambled_miRNA	mix17AA	aof159	1	2	7	0.6766
B3	plant_miRNA	mix17AA	ath5642b	1	2	7	0.6536
B4	N.A.	mix17AA	N.A.	2	N.A.	7	0.0863
B5	plant_miRNA	mix17AA	ath158a3p	2	2	7	0.6696
B6	plant_miRNA	mix17AA	ath827	3	2	7	0.6935
B7	plant_miRNA	mix17AA	aof159	3	2	7	0.6901
B8	scrambled_miRNA	mix17AA	ath158a3p	4	2	7	0.6262
B9	scrambled_miRNA	mix17AA	ath827	4	2	7	0.6191
B10	scrambled_miRNA	mix17AA	ath5642b	5	2	7	0.6485
B11	plant_miRNA	mix17AA	ath158b	5	2	7	0.6405
C2	plant_miRNA	mix17AA	aof159	1	2	7	0.688
C3	scrambled_miRNA	mix17AA	ath5642b	1	2	7	0.662
C4	N.A.	mix17AA	N.A.	2	N.A.	7	0.0903
C5	scrambled_miRNA	mix17AA	ath158a3p	2	2	7	0.6584
C6	scrambled_miRNA	mix17AA	ath827	3	2	7	0.6715
C7	scrambled_miRNA	mix17AA	aof159	3	2	7	0.6568
C8	plant_miRNA	mix17AA	ath158a3p	4	2	7	0.6208
C9	plant_miRNA	mix17AA	ath827	4	2	7	0.6212
C10	plant_miRNA	mix17AA	ath5642b	5	2	7	0.6416
C11	scrambled_miRNA	mix17AA	ath158b	5	2	7	0.6535
D2	scrambled_miRNA	mix17AA	ath158a3p	1	2	7	0.6788
D3	plant_miRNA	mix17AA	ath158b	1	2	7	0.6735
D4	scrambled_miRNA	mix17AA	ath5642b	2	2	7	0.6493
D5	plant_miRNA	mix17AA	ath827	2	2	7	0.6705
D6	N.A.	mix17AA	N.A.	3	N.A.	7	0.0897
D7	plant_miRNA	mix17AA	ath5642b	3	2	7	0.6493
D8	plant_miRNA	mix17AA	aof159	4	2	7	0.6397
D9	scrambled_miRNA	mix17AA	ath158b	4	2	7	0.6134
D10	plant_miRNA	mix17AA	ath158a3p	5	2	7	0.641
D11	N.A.	mix17AA	N.A.	5	N.A.	7	0.0867
E2	plant_miRNA	mix17AA	ath158a3p	1	2	7	0.6763
E3	scrambled_miRNA	mix17AA	ath158b	1	2	7	0.6773
E4	plant_miRNA	mix17AA	ath5642b	2	2	7	0.6634
E5	scrambled_miRNA	mix17AA	ath827	2	2	7	0.6558
E6	N.A.	mix17AA	N.A.	3	N.A.	7	0.0956
E7	scrambled_miRNA	mix17AA	ath5642b	3	2	7	0.6583
E8	scrambled_miRNA	mix17AA	aof159	4	2	7	0.6263
E9	plant_miRNA	mix17AA	ath158b	4	2	7	0.6212
E10	scrambled_miRNA	mix17AA	ath158a3p	5	2	7	0.6347
E11	N.A.	mix17AA	N.A.	5	N.A.	7	0.0862
F2	scrambled_miRNA	mix17AA	ath827	1	2	7	0.6709
F3	N.A.	mix17AA	N.A.	1	N.A.	7	0.1062
F4	plant_miRNA	mix17AA	aof159	2	2	7	0.6923
F5	scrambled_miRNA	mix17AA	ath158b	2	2	7	0.658
F6	scrambled_miRNA	mix17AA	ath158a3p	3	2	7	0.6684
F7	plant_miRNA	mix17AA	ath158b	3	2	7	0.6604
F8	N.A.	mix17AA	N.A.	4	N.A.	7	0.0961
F9	plant_miRNA	mix17AA	ath5642b	4	2	7	0.6088
F10	scrambled_miRNA	mix17AA	aof159	5	2	7	0.6353
F11	plant_miRNA	mix17AA	ath827	5	2	7	0.6588
G2	plant_miRNA	mix17AA	ath827	1	2	7	0.701
G3	N.A.	mix17AA	N.A.	1	N.A.	7	0.1494
G4	scrambled_miRNA	mix17AA	aof159	2	2	7	0.6724
G5	plant_miRNA	mix17AA	ath158b	2	2	7	0.6671
G6	plant_miRNA	mix17AA	ath158a3p	3	2	7	0.6761
G7	scrambled_miRNA	mix17AA	ath158b	3	2	7	0.6814
G8	N.A.	mix17AA	N.A.	4	N.A.	7	0.0842
G9	scrambled_miRNA	mix17AA	ath5642b	4	2	7	0.6154
G10	plant_miRNA	mix17AA	aof159	5	2	7	0.6623
G11	scrambled_miRNA	mix17AA	ath827	5	2	7	0.655
B2	scrambled_miRNA	mix17AA	aof159	1	2	8	0.905
B3	plant_miRNA	mix17AA	ath5642b	1	2	8	0.9058
B4	N.A.	mix17AA	N.A.	2	N.A.	8	0.0847
B5	plant_miRNA	mix17AA	ath158a3p	2	2	8	0.8725
B6	plant_miRNA	mix17AA	ath827	3	2	8	0.9474
B7	plant_miRNA	mix17AA	aof159	3	2	8	0.9117
B8	scrambled_miRNA	mix17AA	ath158a3p	4	2	8	0.8192
B9	scrambled_miRNA	mix17AA	ath827	4	2	8	0.786
B10	scrambled_miRNA	mix17AA	ath5642b	5	2	8	0.8239
B11	plant_miRNA	mix17AA	ath158b	5	2	8	0.8077
C2	plant_miRNA	mix17AA	aof159	1	2	8	0.9192
C3	scrambled_miRNA	mix17AA	ath5642b	1	2	8	0.9081
C4	N.A.	mix17AA	N.A.	2	N.A.	8	0.09
C5	scrambled_miRNA	mix17AA	ath158a3p	2	2	8	0.8629
C6	scrambled_miRNA	mix17AA	ath827	3	2	8	0.93
C7	scrambled_miRNA	mix17AA	aof159	3	2	8	0.8747
C8	plant_miRNA	mix17AA	ath158a3p	4	2	8	0.8004
C9	plant_miRNA	mix17AA	ath827	4	2	8	0.7888
C10	plant_miRNA	mix17AA	ath5642b	5	2	8	0.817
C11	scrambled_miRNA	mix17AA	ath158b	5	2	8	0.8213
D2	scrambled_miRNA	mix17AA	ath158a3p	1	2	8	0.9125
D3	plant_miRNA	mix17AA	ath158b	1	2	8	0.9204
D4	scrambled_miRNA	mix17AA	ath5642b	2	2	8	0.8506
D5	plant_miRNA	mix17AA	ath827	2	2	8	0.8762
D6	N.A.	mix17AA	N.A.	3	N.A.	8	0.0943
D7	plant_miRNA	mix17AA	ath5642b	3	2	8	0.8924
D8	plant_miRNA	mix17AA	aof159	4	2	8	0.8159
D9	scrambled_miRNA	mix17AA	ath158b	4	2	8	0.7781
D10	plant_miRNA	mix17AA	ath158a3p	5	2	8	0.8107
D11	N.A.	mix17AA	N.A.	5	N.A.	8	0.0869
E2	plant_miRNA	mix17AA	ath158a3p	1	2	8	0.8989
E3	scrambled_miRNA	mix17AA	ath158b	1	2	8	0.9216
E4	plant_miRNA	mix17AA	ath5642b	2	2	8	0.8674
E5	scrambled_miRNA	mix17AA	ath827	2	2	8	0.8577
E6	N.A.	mix17AA	N.A.	3	N.A.	8	0.0871
E7	scrambled_miRNA	mix17AA	ath5642b	3	2	8	0.8724
E8	scrambled_miRNA	mix17AA	aof159	4	2	8	0.8065
E9	plant_miRNA	mix17AA	ath158b	4	2	8	0.7946
E10	scrambled_miRNA	mix17AA	ath158a3p	5	2	8	0.8001
E11	N.A.	mix17AA	N.A.	5	N.A.	8	0.0861
F2	scrambled_miRNA	mix17AA	ath827	1	2	8	0.8914
F3	N.A.	mix17AA	N.A.	1	N.A.	8	0.1076
F4	plant_miRNA	mix17AA	aof159	2	2	8	0.8764
F5	scrambled_miRNA	mix17AA	ath158b	2	2	8	0.851
F6	scrambled_miRNA	mix17AA	ath158a3p	3	2	8	0.886
F7	plant_miRNA	mix17AA	ath158b	3	2	8	0.8653
F8	N.A.	mix17AA	N.A.	4	N.A.	8	0.1073
F9	plant_miRNA	mix17AA	ath5642b	4	2	8	0.7711
F10	scrambled_miRNA	mix17AA	aof159	5	2	8	0.8078
F11	plant_miRNA	mix17AA	ath827	5	2	8	0.8226
G2	plant_miRNA	mix17AA	ath827	1	2	8	0.9421
G3	N.A.	mix17AA	N.A.	1	N.A.	8	0.1455
G4	scrambled_miRNA	mix17AA	aof159	2	2	8	0.8592
G5	plant_miRNA	mix17AA	ath158b	2	2	8	0.8647
G6	plant_miRNA	mix17AA	ath158a3p	3	2	8	0.8795
G7	scrambled_miRNA	mix17AA	ath158b	3	2	8	0.8828
G8	N.A.	mix17AA	N.A.	4	N.A.	8	0.0934
G9	scrambled_miRNA	mix17AA	ath5642b	4	2	8	0.7789
G10	plant_miRNA	mix17AA	aof159	5	2	8	0.8251
G11	scrambled_miRNA	mix17AA	ath827	5	2	8	0.8178
B2	scrambled_miRNA	mix17AA	aof159	1	2	9	1.3685
B3	plant_miRNA	mix17AA	ath5642b	1	2	9	1.3576
B4	N.A.	mix17AA	N.A.	2	N.A.	9	0.0848
B5	plant_miRNA	mix17AA	ath158a3p	2	2	9	1.3396
B6	plant_miRNA	mix17AA	ath827	3	2	9	1.4129
B7	plant_miRNA	mix17AA	aof159	3	2	9	1.3691
B8	scrambled_miRNA	mix17AA	ath158a3p	4	2	9	1.275
B9	scrambled_miRNA	mix17AA	ath827	4	2	9	1.2348
B10	scrambled_miRNA	mix17AA	ath5642b	5	2	9	1.269
B11	plant_miRNA	mix17AA	ath158b	5	2	9	1.242
C2	plant_miRNA	mix17AA	aof159	1	2	9	1.3873
C3	scrambled_miRNA	mix17AA	ath5642b	1	2	9	1.3634
C4	N.A.	mix17AA	N.A.	2	N.A.	9	0.09
C5	scrambled_miRNA	mix17AA	ath158a3p	2	2	9	1.327
C6	scrambled_miRNA	mix17AA	ath827	3	2	9	1.3721
C7	scrambled_miRNA	mix17AA	aof159	3	2	9	1.3215
C8	plant_miRNA	mix17AA	ath158a3p	4	2	9	1.2591
C9	plant_miRNA	mix17AA	ath827	4	2	9	1.2387
C10	plant_miRNA	mix17AA	ath5642b	5	2	9	1.2583
C11	scrambled_miRNA	mix17AA	ath158b	5	2	9	1.2462
D2	scrambled_miRNA	mix17AA	ath158a3p	1	2	9	1.3699
D3	plant_miRNA	mix17AA	ath158b	1	2	9	1.3616
D4	scrambled_miRNA	mix17AA	ath5642b	2	2	9	1.3135
D5	plant_miRNA	mix17AA	ath827	2	2	9	1.3388
D6	N.A.	mix17AA	N.A.	3	N.A.	9	0.0923
D7	plant_miRNA	mix17AA	ath5642b	3	2	9	1.3448
D8	plant_miRNA	mix17AA	aof159	4	2	9	1.2572
D9	scrambled_miRNA	mix17AA	ath158b	4	2	9	1.2065
D10	plant_miRNA	mix17AA	ath158a3p	5	2	9	1.2501
D11	N.A.	mix17AA	N.A.	5	N.A.	9	0.0869
E2	plant_miRNA	mix17AA	ath158a3p	1	2	9	1.3666
E3	scrambled_miRNA	mix17AA	ath158b	1	2	9	1.3731
E4	plant_miRNA	mix17AA	ath5642b	2	2	9	1.3275
E5	scrambled_miRNA	mix17AA	ath827	2	2	9	1.3304
E6	N.A.	mix17AA	N.A.	3	N.A.	9	0.0863
E7	scrambled_miRNA	mix17AA	ath5642b	3	2	9	1.3307
E8	scrambled_miRNA	mix17AA	aof159	4	2	9	1.2549
E9	plant_miRNA	mix17AA	ath158b	4	2	9	1.2457
E10	scrambled_miRNA	mix17AA	ath158a3p	5	2	9	1.2235
E11	N.A.	mix17AA	N.A.	5	N.A.	9	0.0862
F2	scrambled_miRNA	mix17AA	ath827	1	2	9	1.3486
F3	N.A.	mix17AA	N.A.	1	N.A.	9	0.1124
F4	plant_miRNA	mix17AA	aof159	2	2	9	1.3536
F5	scrambled_miRNA	mix17AA	ath158b	2	2	9	1.3018
F6	scrambled_miRNA	mix17AA	ath158a3p	3	2	9	1.3388
F7	plant_miRNA	mix17AA	ath158b	3	2	9	1.3096
F8	N.A.	mix17AA	N.A.	4	N.A.	9	0.1098
F9	plant_miRNA	mix17AA	ath5642b	4	2	9	1.1902
F10	scrambled_miRNA	mix17AA	aof159	5	2	9	1.2262
F11	plant_miRNA	mix17AA	ath827	5	2	9	1.2439
G2	plant_miRNA	mix17AA	ath827	1	2	9	1.3755
G3	N.A.	mix17AA	N.A.	1	N.A.	9	0.1485
G4	scrambled_miRNA	mix17AA	aof159	2	2	9	1.3117
G5	plant_miRNA	mix17AA	ath158b	2	2	9	1.3245
G6	plant_miRNA	mix17AA	ath158a3p	3	2	9	1.3274
G7	scrambled_miRNA	mix17AA	ath158b	3	2	9	1.3209
G8	N.A.	mix17AA	N.A.	4	N.A.	9	0.0987
G9	scrambled_miRNA	mix17AA	ath5642b	4	2	9	1.1879
G10	plant_miRNA	mix17AA	aof159	5	2	9	1.2507
G11	scrambled_miRNA	mix17AA	ath827	5	2	9	1.2202
B2	scrambled_miRNA	mix17AA	aof159	1	2	10	1.635
B3	plant_miRNA	mix17AA	ath5642b	1	2	10	1.6208
B4	N.A.	mix17AA	N.A.	2	N.A.	10	0.0852
B5	plant_miRNA	mix17AA	ath158a3p	2	2	10	1.6024
B6	plant_miRNA	mix17AA	ath827	3	2	10	1.6546
B7	plant_miRNA	mix17AA	aof159	3	2	10	1.625
B8	scrambled_miRNA	mix17AA	ath158a3p	4	2	10	1.5535
B9	scrambled_miRNA	mix17AA	ath827	4	2	10	1.5214
B10	scrambled_miRNA	mix17AA	ath5642b	5	2	10	1.5589
B11	plant_miRNA	mix17AA	ath158b	5	2	10	1.5529
C2	plant_miRNA	mix17AA	aof159	1	2	10	1.6608
C3	scrambled_miRNA	mix17AA	ath5642b	1	2	10	1.6208
C4	N.A.	mix17AA	N.A.	2	N.A.	10	0.0896
C5	scrambled_miRNA	mix17AA	ath158a3p	2	2	10	1.5773
C6	scrambled_miRNA	mix17AA	ath827	3	2	10	1.6007
C7	scrambled_miRNA	mix17AA	aof159	3	2	10	1.5708
C8	plant_miRNA	mix17AA	ath158a3p	4	2	10	1.545
C9	plant_miRNA	mix17AA	ath827	4	2	10	1.5412
C10	plant_miRNA	mix17AA	ath5642b	5	2	10	1.5531
C11	scrambled_miRNA	mix17AA	ath158b	5	2	10	1.5472
D2	scrambled_miRNA	mix17AA	ath158a3p	1	2	10	1.6324
D3	plant_miRNA	mix17AA	ath158b	1	2	10	1.6157
D4	scrambled_miRNA	mix17AA	ath5642b	2	2	10	1.5744
D5	plant_miRNA	mix17AA	ath827	2	2	10	1.6043
D6	N.A.	mix17AA	N.A.	3	N.A.	10	0.0902
D7	plant_miRNA	mix17AA	ath5642b	3	2	10	1.5846
D8	plant_miRNA	mix17AA	aof159	4	2	10	1.5483
D9	scrambled_miRNA	mix17AA	ath158b	4	2	10	1.5097
D10	plant_miRNA	mix17AA	ath158a3p	5	2	10	1.5538
D11	N.A.	mix17AA	N.A.	5	N.A.	10	0.0867
E2	plant_miRNA	mix17AA	ath158a3p	1	2	10	1.6349
E3	scrambled_miRNA	mix17AA	ath158b	1	2	10	1.622
E4	plant_miRNA	mix17AA	ath5642b	2	2	10	1.5817
E5	scrambled_miRNA	mix17AA	ath827	2	2	10	1.5869
E6	N.A.	mix17AA	N.A.	3	N.A.	10	0.0899
E7	scrambled_miRNA	mix17AA	ath5642b	3	2	10	1.5832
E8	scrambled_miRNA	mix17AA	aof159	4	2	10	1.5472
E9	plant_miRNA	mix17AA	ath158b	4	2	10	1.5641
E10	scrambled_miRNA	mix17AA	ath158a3p	5	2	10	1.5379
E11	N.A.	mix17AA	N.A.	5	N.A.	10	0.0861
F2	scrambled_miRNA	mix17AA	ath827	1	2	10	1.6184
F3	N.A.	mix17AA	N.A.	1	N.A.	10	0.0887
F4	plant_miRNA	mix17AA	aof159	2	2	10	1.6287
F5	scrambled_miRNA	mix17AA	ath158b	2	2	10	1.5538
F6	scrambled_miRNA	mix17AA	ath158a3p	3	2	10	1.5827
F7	plant_miRNA	mix17AA	ath158b	3	2	10	1.5635
F8	N.A.	mix17AA	N.A.	4	N.A.	10	0.092
F9	plant_miRNA	mix17AA	ath5642b	4	2	10	1.4852
F10	scrambled_miRNA	mix17AA	aof159	5	2	10	1.5158
F11	plant_miRNA	mix17AA	ath827	5	2	10	1.5577
G2	plant_miRNA	mix17AA	ath827	1	2	10	1.6315
G3	N.A.	mix17AA	N.A.	1	N.A.	10	0.1589
G4	scrambled_miRNA	mix17AA	aof159	2	2	10	1.5706
G5	plant_miRNA	mix17AA	ath158b	2	2	10	1.591
G6	plant_miRNA	mix17AA	ath158a3p	3	2	10	1.5767
G7	scrambled_miRNA	mix17AA	ath158b	3	2	10	1.5773
G8	N.A.	mix17AA	N.A.	4	N.A.	10	0.0911
G9	scrambled_miRNA	mix17AA	ath5642b	4	2	10	1.4997
G10	plant_miRNA	mix17AA	aof159	5	2	10	1.5564
G11	scrambled_miRNA	mix17AA	ath827	5	2	10	1.5461
B2	scrambled_miRNA	mix17AA	aof159	1	2	11	1.7821
B3	plant_miRNA	mix17AA	ath5642b	1	2	11	1.7655
B4	N.A.	mix17AA	N.A.	2	N.A.	11	0.0849
B5	plant_miRNA	mix17AA	ath158a3p	2	2	11	1.7521
B6	plant_miRNA	mix17AA	ath827	3	2	11	1.8033
B7	plant_miRNA	mix17AA	aof159	3	2	11	1.7712
B8	scrambled_miRNA	mix17AA	ath158a3p	4	2	11	1.7216
B9	scrambled_miRNA	mix17AA	ath827	4	2	11	1.6965
B10	scrambled_miRNA	mix17AA	ath5642b	5	2	11	1.7292
B11	plant_miRNA	mix17AA	ath158b	5	2	11	1.7314
C2	plant_miRNA	mix17AA	aof159	1	2	11	1.7996
C3	scrambled_miRNA	mix17AA	ath5642b	1	2	11	1.763
C4	N.A.	mix17AA	N.A.	2	N.A.	11	0.0905
C5	scrambled_miRNA	mix17AA	ath158a3p	2	2	11	1.7207
C6	scrambled_miRNA	mix17AA	ath827	3	2	11	1.7411
C7	scrambled_miRNA	mix17AA	aof159	3	2	11	1.72
C8	plant_miRNA	mix17AA	ath158a3p	4	2	11	1.6938
C9	plant_miRNA	mix17AA	ath827	4	2	11	1.7084
C10	plant_miRNA	mix17AA	ath5642b	5	2	11	1.7096
C11	scrambled_miRNA	mix17AA	ath158b	5	2	11	1.729
D2	scrambled_miRNA	mix17AA	ath158a3p	1	2	11	1.7718
D3	plant_miRNA	mix17AA	ath158b	1	2	11	1.7588
D4	scrambled_miRNA	mix17AA	ath5642b	2	2	11	1.7214
D5	plant_miRNA	mix17AA	ath827	2	2	11	1.7495
D6	N.A.	mix17AA	N.A.	3	N.A.	11	0.0906
D7	plant_miRNA	mix17AA	ath5642b	3	2	11	1.7195
D8	plant_miRNA	mix17AA	aof159	4	2	11	1.7121
D9	scrambled_miRNA	mix17AA	ath158b	4	2	11	1.6867
D10	plant_miRNA	mix17AA	ath158a3p	5	2	11	1.7221
D11	N.A.	mix17AA	N.A.	5	N.A.	11	0.087
E2	plant_miRNA	mix17AA	ath158a3p	1	2	11	1.7764
E3	scrambled_miRNA	mix17AA	ath158b	1	2	11	1.7703
E4	plant_miRNA	mix17AA	ath5642b	2	2	11	1.7199
E5	scrambled_miRNA	mix17AA	ath827	2	2	11	1.7303
E6	N.A.	mix17AA	N.A.	3	N.A.	11	0.0887
E7	scrambled_miRNA	mix17AA	ath5642b	3	2	11	1.7275
E8	scrambled_miRNA	mix17AA	aof159	4	2	11	1.7081
E9	plant_miRNA	mix17AA	ath158b	4	2	11	1.7282
E10	scrambled_miRNA	mix17AA	ath158a3p	5	2	11	1.7017
E11	N.A.	mix17AA	N.A.	5	N.A.	11	0.0865
F2	scrambled_miRNA	mix17AA	ath827	1	2	11	1.7766
F3	N.A.	mix17AA	N.A.	1	N.A.	11	0.0958
F4	plant_miRNA	mix17AA	aof159	2	2	11	1.7699
F5	scrambled_miRNA	mix17AA	ath158b	2	2	11	1.6981
F6	scrambled_miRNA	mix17AA	ath158a3p	3	2	11	1.7323
F7	plant_miRNA	mix17AA	ath158b	3	2	11	1.7233
F8	N.A.	mix17AA	N.A.	4	N.A.	11	0.0996
F9	plant_miRNA	mix17AA	ath5642b	4	2	11	1.6636
F10	scrambled_miRNA	mix17AA	aof159	5	2	11	1.6741
F11	plant_miRNA	mix17AA	ath827	5	2	11	1.7436
G2	plant_miRNA	mix17AA	ath827	1	2	11	1.7788
G3	N.A.	mix17AA	N.A.	1	N.A.	11	0.1533
G4	scrambled_miRNA	mix17AA	aof159	2	2	11	1.734
G5	plant_miRNA	mix17AA	ath158b	2	2	11	1.742
G6	plant_miRNA	mix17AA	ath158a3p	3	2	11	1.7284
G7	scrambled_miRNA	mix17AA	ath158b	3	2	11	1.7303
G8	N.A.	mix17AA	N.A.	4	N.A.	11	0.0858
G9	scrambled_miRNA	mix17AA	ath5642b	4	2	11	1.6673
G10	plant_miRNA	mix17AA	aof159	5	2	11	1.733
G11	scrambled_miRNA	mix17AA	ath827	5	2	11	1.7402
B2	scrambled_miRNA	mix17AA	aof159	1	2	12	1.8875
B3	plant_miRNA	mix17AA	ath5642b	1	2	12	1.8597
B4	N.A.	mix17AA	N.A.	2	N.A.	12	0.0847
B5	plant_miRNA	mix17AA	ath158a3p	2	2	12	1.8543
B6	plant_miRNA	mix17AA	ath827	3	2	12	1.8951
B7	plant_miRNA	mix17AA	aof159	3	2	12	1.8655
B8	scrambled_miRNA	mix17AA	ath158a3p	4	2	12	1.8307
B9	scrambled_miRNA	mix17AA	ath827	4	2	12	1.8126
B10	scrambled_miRNA	mix17AA	ath5642b	5	2	12	1.8479
B11	plant_miRNA	mix17AA	ath158b	5	2	12	1.8503
C2	plant_miRNA	mix17AA	aof159	1	2	12	1.907
C3	scrambled_miRNA	mix17AA	ath5642b	1	2	12	1.8579
C4	N.A.	mix17AA	N.A.	2	N.A.	12	0.0895
C5	scrambled_miRNA	mix17AA	ath158a3p	2	2	12	1.8202
C6	scrambled_miRNA	mix17AA	ath827	3	2	12	1.84
C7	scrambled_miRNA	mix17AA	aof159	3	2	12	1.8196
C8	plant_miRNA	mix17AA	ath158a3p	4	2	12	1.8021
C9	plant_miRNA	mix17AA	ath827	4	2	12	1.8213
C10	plant_miRNA	mix17AA	ath5642b	5	2	12	1.8161
C11	scrambled_miRNA	mix17AA	ath158b	5	2	12	1.8418
D2	scrambled_miRNA	mix17AA	ath158a3p	1	2	12	1.8633
D3	plant_miRNA	mix17AA	ath158b	1	2	12	1.8541
D4	scrambled_miRNA	mix17AA	ath5642b	2	2	12	1.8216
D5	plant_miRNA	mix17AA	ath827	2	2	12	1.8406
D6	N.A.	mix17AA	N.A.	3	N.A.	12	0.1049
D7	plant_miRNA	mix17AA	ath5642b	3	2	12	1.816
D8	plant_miRNA	mix17AA	aof159	4	2	12	1.8074
D9	scrambled_miRNA	mix17AA	ath158b	4	2	12	1.8023
D10	plant_miRNA	mix17AA	ath158a3p	5	2	12	1.8296
D11	N.A.	mix17AA	N.A.	5	N.A.	12	0.0868
E2	plant_miRNA	mix17AA	ath158a3p	1	2	12	1.8782
E3	scrambled_miRNA	mix17AA	ath158b	1	2	12	1.8666
E4	plant_miRNA	mix17AA	ath5642b	2	2	12	1.8147
E5	scrambled_miRNA	mix17AA	ath827	2	2	12	1.8259
E6	N.A.	mix17AA	N.A.	3	N.A.	12	0.0859
E7	scrambled_miRNA	mix17AA	ath5642b	3	2	12	1.8267
E8	scrambled_miRNA	mix17AA	aof159	4	2	12	1.8141
E9	plant_miRNA	mix17AA	ath158b	4	2	12	1.8422
E10	scrambled_miRNA	mix17AA	ath158a3p	5	2	12	1.8174
E11	N.A.	mix17AA	N.A.	5	N.A.	12	0.0862
F2	scrambled_miRNA	mix17AA	ath827	1	2	12	1.878
F3	N.A.	mix17AA	N.A.	1	N.A.	12	0.0918
F4	plant_miRNA	mix17AA	aof159	2	2	12	1.87
F5	scrambled_miRNA	mix17AA	ath158b	2	2	12	1.79
F6	scrambled_miRNA	mix17AA	ath158a3p	3	2	12	1.8151
F7	plant_miRNA	mix17AA	ath158b	3	2	12	1.8183
F8	N.A.	mix17AA	N.A.	4	N.A.	12	0.1035
F9	plant_miRNA	mix17AA	ath5642b	4	2	12	1.7758
F10	scrambled_miRNA	mix17AA	aof159	5	2	12	1.7834
F11	plant_miRNA	mix17AA	ath827	5	2	12	1.8582
G2	plant_miRNA	mix17AA	ath827	1	2	12	1.8982
G3	N.A.	mix17AA	N.A.	1	N.A.	12	0.1445
G4	scrambled_miRNA	mix17AA	aof159	2	2	12	1.8315
G5	plant_miRNA	mix17AA	ath158b	2	2	12	1.8458
G6	plant_miRNA	mix17AA	ath158a3p	3	2	12	1.8187
G7	scrambled_miRNA	mix17AA	ath158b	3	2	12	1.8313
G8	N.A.	mix17AA	N.A.	4	N.A.	12	0.0938
G9	scrambled_miRNA	mix17AA	ath5642b	4	2	12	1.7776
G10	plant_miRNA	mix17AA	aof159	5	2	12	1.8261
G11	scrambled_miRNA	mix17AA	ath827	5	2	12	1.8416
B2	scrambled_miRNA	mix17AA	aof159	1	2	13	1.9556
B3	plant_miRNA	mix17AA	ath5642b	1	2	13	1.9314
B4	N.A.	mix17AA	N.A.	2	N.A.	13	0.0847
B5	plant_miRNA	mix17AA	ath158a3p	2	2	13	1.9224
B6	plant_miRNA	mix17AA	ath827	3	2	13	1.9643
B7	plant_miRNA	mix17AA	aof159	3	2	13	1.9315
B8	scrambled_miRNA	mix17AA	ath158a3p	4	2	13	1.9063
B9	scrambled_miRNA	mix17AA	ath827	4	2	13	1.8915
B10	scrambled_miRNA	mix17AA	ath5642b	5	2	13	1.9278
B11	plant_miRNA	mix17AA	ath158b	5	2	13	1.931
C2	plant_miRNA	mix17AA	aof159	1	2	13	1.9799
C3	scrambled_miRNA	mix17AA	ath5642b	1	2	13	1.9305
C4	N.A.	mix17AA	N.A.	2	N.A.	13	0.0891
C5	scrambled_miRNA	mix17AA	ath158a3p	2	2	13	1.8918
C6	scrambled_miRNA	mix17AA	ath827	3	2	13	1.907
C7	scrambled_miRNA	mix17AA	aof159	3	2	13	1.8891
C8	plant_miRNA	mix17AA	ath158a3p	4	2	13	1.8776
C9	plant_miRNA	mix17AA	ath827	4	2	13	1.8954
C10	plant_miRNA	mix17AA	ath5642b	5	2	13	1.8998
C11	scrambled_miRNA	mix17AA	ath158b	5	2	13	1.9305
D2	scrambled_miRNA	mix17AA	ath158a3p	1	2	13	1.9352
D3	plant_miRNA	mix17AA	ath158b	1	2	13	1.9263
D4	scrambled_miRNA	mix17AA	ath5642b	2	2	13	1.8824
D5	plant_miRNA	mix17AA	ath827	2	2	13	1.9015
D6	N.A.	mix17AA	N.A.	3	N.A.	13	0.0965
D7	plant_miRNA	mix17AA	ath5642b	3	2	13	1.8813
D8	plant_miRNA	mix17AA	aof159	4	2	13	1.8795
D9	scrambled_miRNA	mix17AA	ath158b	4	2	13	1.8803
D10	plant_miRNA	mix17AA	ath158a3p	5	2	13	1.9113
D11	N.A.	mix17AA	N.A.	5	N.A.	13	0.0869
E2	plant_miRNA	mix17AA	ath158a3p	1	2	13	1.9469
E3	scrambled_miRNA	mix17AA	ath158b	1	2	13	1.9346
E4	plant_miRNA	mix17AA	ath5642b	2	2	13	1.8842
E5	scrambled_miRNA	mix17AA	ath827	2	2	13	1.8974
E6	N.A.	mix17AA	N.A.	3	N.A.	13	0.0879
