Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600	
A4	N.A.	L-Alanine	N.A.	N.A.	N.A.	0	0.0928	
A5	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	0	0.091	
A6	N.A.	L-Arginine	N.A.	N.A.	N.A.	0	0.0868	
A7	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	0	0.0865	
A8	N.A.	L-Histidine	N.A.	N.A.	N.A.	0	0.0824	
A9	N.A.	L-Cysteine	N.A.	N.A.	N.A.	0	0.082	
B1	N.A.	L-Cysteine	N.A.	N.A.	N.A.	0	0.0918	
B2	scrambled_miRNA	L-Alanine	mix_5	1	10	0	0.0916	
B3	plant_miRNA	L-Glutamic_acid	mix_5	1	10	0	0.0913	
B4	plant_miRNA	L-Histidine	mix_5	2	10	0	0.0928	
B5	scrambled_miRNA	L-Arginine	mix_5	2	10	0	0.087	
B6	plant_miRNA	L-Glutamic_acid	mix_5	3	10	0	0.0895	
B7	plant_miRNA	L-Aspartic_acid	mix_5	3	10	0	0.0877	
B8	plant_miRNA	L-Cysteine	mix_5	4	10	0	0.0864	
B9	scrambled_miRNA	L-Glutamic_acid	mix_5	4	10	0	0.0861	
B10	plant_miRNA	L-Arginine	mix_5	5	10	0	0.0908	
B11	plant_miRNA	L-Histidine	mix_5	5	10	0	0.0916	
B12	N.A.	L-Cysteine	N.A.	N.A.	N.A.	0	0.0861	
C1	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	0	0.0948	
C2	plant_miRNA	L-Alanine	mix_5	1	10	0	0.092	
C3	scrambled_miRNA	L-Glutamic_acid	mix_5	1	10	0	0.0983	
C4	scrambled_miRNA	L-Histidine	mix_5	2	10	0	0.0907	
C5	plant_miRNA	L-Arginine	mix_5	2	10	0	0.0923	
C6	scrambled_miRNA	L-Glutamic_acid	mix_5	3	10	0	0.0912	
C7	scrambled_miRNA	L-Aspartic_acid	mix_5	3	10	0	0.086	
C8	scrambled_miRNA	L-Cysteine	mix_5	4	10	0	0.0873	
C9	plant_miRNA	L-Glutamic_acid	mix_5	4	10	0	0.0904	
C10	scrambled_miRNA	L-Arginine	mix_5	5	10	0	0.0968	
C11	scrambled_miRNA	L-Histidine	mix_5	5	10	0	0.0891	
C12	N.A.	L-Alanine	N.A.	N.A.	N.A.	0	0.0813	
D1	N.A.	L-Histidine	N.A.	N.A.	N.A.	0	0.086	
D2	plant_miRNA	L-Cysteine	mix_5	1	10	0	0.0907	
D3	plant_miRNA	L-Aspartic_acid	mix_5	1	10	0	0.0898	
D4	scrambled_miRNA	L-Alanine	mix_5	2	10	0	0.091	
D5	plant_miRNA	L-Cysteine	mix_5	2	10	0	0.0908	
D6	plant_miRNA	L-Arginine	mix_5	3	10	0	0.0924	
D7	plant_miRNA	L-Histidine	mix_5	3	10	0	0.09	
D8	scrambled_miRNA	L-Histidine	mix_5	4	10	0	0.0908	
D9	scrambled_miRNA	L-Aspartic_acid	mix_5	4	10	0	0.095	
D10	plant_miRNA	L-Aspartic_acid	mix_5	5	10	0	0.0967	
D11	scrambled_miRNA	L-Alanine	mix_5	5	10	0	0.0903	
D12	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	0	0.0856	
E1	N.A.	L-Alanine	N.A.	N.A.	N.A.	0	0.085	
E2	scrambled_miRNA	L-Cysteine	mix_5	1	10	0	0.092	
E3	scrambled_miRNA	L-Aspartic_acid	mix_5	1	10	0	0.0925	
E4	plant_miRNA	L-Alanine	mix_5	2	10	0	0.0912	
E5	scrambled_miRNA	L-Cysteine	mix_5	2	10	0	0.0913	
E6	scrambled_miRNA	L-Arginine	mix_5	3	10	0	0.0899	
E7	scrambled_miRNA	L-Histidine	mix_5	3	10	0	0.093	
E8	plant_miRNA	L-Histidine	mix_5	4	10	0	0.0899	
E9	plant_miRNA	L-Aspartic_acid	mix_5	4	10	0	0.0907	
E10	scrambled_miRNA	L-Aspartic_acid	mix_5	5	10	0	0.0924	
E11	plant_miRNA	L-Alanine	mix_5	5	10	0	0.0898	
E12	N.A.	L-Arginine	N.A.	N.A.	N.A.	0	0.0912	
F1	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	0	0.0983	
F2	scrambled_miRNA	L-Arginine	mix_5	1	10	0	0.0932	
F3	scrambled_miRNA	L-Histidine	mix_5	1	10	0	0.0918	
F4	plant_miRNA	L-Glutamic_acid	mix_5	2	10	0	0.1019	
F5	plant_miRNA	L-Aspartic_acid	mix_5	2	10	0	0.0931	
F6	plant_miRNA	L-Cysteine	mix_5	3	10	0	0.0895	
F7	scrambled_miRNA	L-Alanine	mix_5	3	10	0	0.0889	
F8	scrambled_miRNA	L-Alanine	mix_5	4	10	0	0.0989	
F9	plant_miRNA	L-Arginine	mix_5	4	10	0	0.0902	
F10	scrambled_miRNA	L-Glutamic_acid	mix_5	5	10	0	0.093	
F11	scrambled_miRNA	L-Cysteine	mix_5	5	10	0	0.091	
F12	N.A.	L-Histidine	N.A.	N.A.	N.A.	0	0.0839	
G1	N.A.	L-Arginine	N.A.	N.A.	N.A.	0	0.0965	
G2	plant_miRNA	L-Arginine	mix_5	1	10	0	0.098	
G3	plant_miRNA	L-Histidine	mix_5	1	10	0	0.0929	
G4	scrambled_miRNA	L-Glutamic_acid	mix_5	2	10	0	0.0946	
G5	scrambled_miRNA	L-Aspartic_acid	mix_5	2	10	0	0.0913	
G6	scrambled_miRNA	L-Cysteine	mix_5	3	10	0	0.0895	
G7	plant_miRNA	L-Alanine	mix_5	3	10	0	0.0975	
G8	plant_miRNA	L-Alanine	mix_5	4	10	0	0.0888	
G9	scrambled_miRNA	L-Arginine	mix_5	4	10	0	0.0878	
G10	plant_miRNA	L-Glutamic_acid	mix_5	5	10	0	0.0886	
G11	plant_miRNA	L-Cysteine	mix_5	5	10	0	0.0908	
G12	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	0	0.0873	
H4	N.A.	L-Histidine	N.A.	N.A.	N.A.	0	0.082	
H5	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	0	0.0892	
H6	N.A.	L-Cysteine	N.A.	N.A.	N.A.	0	0.0925	
H7	N.A.	L-Arginine	N.A.	N.A.	N.A.	0	0.0879	
H8	N.A.	L-Alanine	N.A.	N.A.	N.A.	0	0.0993	
H10	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	0	0.0927	
A4	N.A.	L-Alanine	N.A.	N.A.	N.A.	1	0.0926	
A5	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	1	0.09	
A6	N.A.	L-Arginine	N.A.	N.A.	N.A.	1	0.0908	
A7	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	1	0.0926	
A8	N.A.	L-Histidine	N.A.	N.A.	N.A.	1	0.0844	
A9	N.A.	L-Cysteine	N.A.	N.A.	N.A.	1	0.0839	
B1	N.A.	L-Cysteine	N.A.	N.A.	N.A.	1	0.0936	
B2	scrambled_miRNA	L-Alanine	mix_5	1	10	1	0.0934	
B3	plant_miRNA	L-Glutamic_acid	mix_5	1	10	1	0.0931	
B4	plant_miRNA	L-Histidine	mix_5	2	10	1	0.0937	
B5	scrambled_miRNA	L-Arginine	mix_5	2	10	1	0.0945	
B6	plant_miRNA	L-Glutamic_acid	mix_5	3	10	1	0.0947	
B7	plant_miRNA	L-Aspartic_acid	mix_5	3	10	1	0.0975	
B8	plant_miRNA	L-Cysteine	mix_5	4	10	1	0.0917	
B9	scrambled_miRNA	L-Glutamic_acid	mix_5	4	10	1	0.0907	
B10	plant_miRNA	L-Arginine	mix_5	5	10	1	0.0918	
B11	plant_miRNA	L-Histidine	mix_5	5	10	1	0.0931	
B12	N.A.	L-Cysteine	N.A.	N.A.	N.A.	1	0.0895	
C1	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	1	0.0933	
C2	plant_miRNA	L-Alanine	mix_5	1	10	1	0.0939	
C3	scrambled_miRNA	L-Glutamic_acid	mix_5	1	10	1	0.101	
C4	scrambled_miRNA	L-Histidine	mix_5	2	10	1	0.092	
C5	plant_miRNA	L-Arginine	mix_5	2	10	1	0.0927	
C6	scrambled_miRNA	L-Glutamic_acid	mix_5	3	10	1	0.098	
C7	scrambled_miRNA	L-Aspartic_acid	mix_5	3	10	1	0.0955	
C8	scrambled_miRNA	L-Cysteine	mix_5	4	10	1	0.089	
C9	plant_miRNA	L-Glutamic_acid	mix_5	4	10	1	0.0926	
C10	scrambled_miRNA	L-Arginine	mix_5	5	10	1	0.0993	
C11	scrambled_miRNA	L-Histidine	mix_5	5	10	1	0.0904	
C12	N.A.	L-Alanine	N.A.	N.A.	N.A.	1	0.0802	
D1	N.A.	L-Histidine	N.A.	N.A.	N.A.	1	0.0874	
D2	plant_miRNA	L-Cysteine	mix_5	1	10	1	0.0908	
D3	plant_miRNA	L-Aspartic_acid	mix_5	1	10	1	0.0917	
D4	scrambled_miRNA	L-Alanine	mix_5	2	10	1	0.0902	
D5	plant_miRNA	L-Cysteine	mix_5	2	10	1	0.0907	
D6	plant_miRNA	L-Arginine	mix_5	3	10	1	0.0952	
D7	plant_miRNA	L-Histidine	mix_5	3	10	1	0.0939	
D8	scrambled_miRNA	L-Histidine	mix_5	4	10	1	0.0928	
D9	scrambled_miRNA	L-Aspartic_acid	mix_5	4	10	1	0.0972	
D10	plant_miRNA	L-Aspartic_acid	mix_5	5	10	1	0.0992	
D11	scrambled_miRNA	L-Alanine	mix_5	5	10	1	0.0934	
D12	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	1	0.0864	
E1	N.A.	L-Alanine	N.A.	N.A.	N.A.	1	0.0911	
E2	scrambled_miRNA	L-Cysteine	mix_5	1	10	1	0.091	
E3	scrambled_miRNA	L-Aspartic_acid	mix_5	1	10	1	0.0935	
E4	plant_miRNA	L-Alanine	mix_5	2	10	1	0.0918	
E5	scrambled_miRNA	L-Cysteine	mix_5	2	10	1	0.0898	
E6	scrambled_miRNA	L-Arginine	mix_5	3	10	1	0.0907	
E7	scrambled_miRNA	L-Histidine	mix_5	3	10	1	0.0926	
E8	plant_miRNA	L-Histidine	mix_5	4	10	1	0.091	
E9	plant_miRNA	L-Aspartic_acid	mix_5	4	10	1	0.0937	
E10	scrambled_miRNA	L-Aspartic_acid	mix_5	5	10	1	0.0947	
E11	plant_miRNA	L-Alanine	mix_5	5	10	1	0.093	
E12	N.A.	L-Arginine	N.A.	N.A.	N.A.	1	0.0827	
F1	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	1	0.1245	
F2	scrambled_miRNA	L-Arginine	mix_5	1	10	1	0.0952	
F3	scrambled_miRNA	L-Histidine	mix_5	1	10	1	0.0929	
F4	plant_miRNA	L-Glutamic_acid	mix_5	2	10	1	0.1031	
F5	plant_miRNA	L-Aspartic_acid	mix_5	2	10	1	0.0961	
F6	plant_miRNA	L-Cysteine	mix_5	3	10	1	0.0884	
F7	scrambled_miRNA	L-Alanine	mix_5	3	10	1	0.0896	
F8	scrambled_miRNA	L-Alanine	mix_5	4	10	1	0.1005	
F9	plant_miRNA	L-Arginine	mix_5	4	10	1	0.0922	
F10	scrambled_miRNA	L-Glutamic_acid	mix_5	5	10	1	0.0952	
F11	scrambled_miRNA	L-Cysteine	mix_5	5	10	1	0.0917	
F12	N.A.	L-Histidine	N.A.	N.A.	N.A.	1	0.084	
G1	N.A.	L-Arginine	N.A.	N.A.	N.A.	1	0.1069	
G2	plant_miRNA	L-Arginine	mix_5	1	10	1	0.1016	
G3	plant_miRNA	L-Histidine	mix_5	1	10	1	0.0927	
G4	scrambled_miRNA	L-Glutamic_acid	mix_5	2	10	1	0.0963	
G5	scrambled_miRNA	L-Aspartic_acid	mix_5	2	10	1	0.093	
G6	scrambled_miRNA	L-Cysteine	mix_5	3	10	1	0.089	
G7	plant_miRNA	L-Alanine	mix_5	3	10	1	0.0994	
G8	plant_miRNA	L-Alanine	mix_5	4	10	1	0.091	
G9	scrambled_miRNA	L-Arginine	mix_5	4	10	1	0.0925	
G10	plant_miRNA	L-Glutamic_acid	mix_5	5	10	1	0.0908	
G11	plant_miRNA	L-Cysteine	mix_5	5	10	1	0.0918	
G12	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	1	0.0879	
H4	N.A.	L-Histidine	N.A.	N.A.	N.A.	1	0.0815	
H5	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	1	0.0902	
H6	N.A.	L-Cysteine	N.A.	N.A.	N.A.	1	0.126	
H7	N.A.	L-Arginine	N.A.	N.A.	N.A.	1	0.1197	
H8	N.A.	L-Alanine	N.A.	N.A.	N.A.	1	0.099	
H10	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	1	0.0872	
A4	N.A.	L-Alanine	N.A.	N.A.	N.A.	2	0.0924	
A5	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	2	0.0893	
A6	N.A.	L-Arginine	N.A.	N.A.	N.A.	2	0.0912	
A7	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	2	0.0928	
A8	N.A.	L-Histidine	N.A.	N.A.	N.A.	2	0.0852	
A9	N.A.	L-Cysteine	N.A.	N.A.	N.A.	2	0.0846	
B1	N.A.	L-Cysteine	N.A.	N.A.	N.A.	2	0.0971	
B2	scrambled_miRNA	L-Alanine	mix_5	1	10	2	0.0995	
B3	plant_miRNA	L-Glutamic_acid	mix_5	1	10	2	0.0984	
B4	plant_miRNA	L-Histidine	mix_5	2	10	2	0.0963	
B5	scrambled_miRNA	L-Arginine	mix_5	2	10	2	0.098	
B6	plant_miRNA	L-Glutamic_acid	mix_5	3	10	2	0.099	
B7	plant_miRNA	L-Aspartic_acid	mix_5	3	10	2	0.106	
B8	plant_miRNA	L-Cysteine	mix_5	4	10	2	0.0927	
B9	scrambled_miRNA	L-Glutamic_acid	mix_5	4	10	2	0.0949	
B10	plant_miRNA	L-Arginine	mix_5	5	10	2	0.0967	
B11	plant_miRNA	L-Histidine	mix_5	5	10	2	0.0949	
B12	N.A.	L-Cysteine	N.A.	N.A.	N.A.	2	0.0973	
C1	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	2	0.0939	
C2	plant_miRNA	L-Alanine	mix_5	1	10	2	0.0994	
C3	scrambled_miRNA	L-Glutamic_acid	mix_5	1	10	2	0.1061	
C4	scrambled_miRNA	L-Histidine	mix_5	2	10	2	0.0946	
C5	plant_miRNA	L-Arginine	mix_5	2	10	2	0.0977	
C6	scrambled_miRNA	L-Glutamic_acid	mix_5	3	10	2	0.1043	
C7	scrambled_miRNA	L-Aspartic_acid	mix_5	3	10	2	0.1038	
C8	scrambled_miRNA	L-Cysteine	mix_5	4	10	2	0.0901	
C9	plant_miRNA	L-Glutamic_acid	mix_5	4	10	2	0.097	
C10	scrambled_miRNA	L-Arginine	mix_5	5	10	2	0.1035	
C11	scrambled_miRNA	L-Histidine	mix_5	5	10	2	0.0931	
C12	N.A.	L-Alanine	N.A.	N.A.	N.A.	2	0.0799	
D1	N.A.	L-Histidine	N.A.	N.A.	N.A.	2	0.0882	
D2	plant_miRNA	L-Cysteine	mix_5	1	10	2	0.0919	
D3	plant_miRNA	L-Aspartic_acid	mix_5	1	10	2	0.1008	
D4	scrambled_miRNA	L-Alanine	mix_5	2	10	2	0.0957	
D5	plant_miRNA	L-Cysteine	mix_5	2	10	2	0.0914	
D6	plant_miRNA	L-Arginine	mix_5	3	10	2	0.0995	
D7	plant_miRNA	L-Histidine	mix_5	3	10	2	0.0966	
D8	scrambled_miRNA	L-Histidine	mix_5	4	10	2	0.0953	
D9	scrambled_miRNA	L-Aspartic_acid	mix_5	4	10	2	0.1057	
D10	plant_miRNA	L-Aspartic_acid	mix_5	5	10	2	0.1075	
D11	scrambled_miRNA	L-Alanine	mix_5	5	10	2	0.0979	
D12	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	2	0.0867	
E1	N.A.	L-Alanine	N.A.	N.A.	N.A.	2	0.0902	
E2	scrambled_miRNA	L-Cysteine	mix_5	1	10	2	0.0919	
E3	scrambled_miRNA	L-Aspartic_acid	mix_5	1	10	2	0.1012	
E4	plant_miRNA	L-Alanine	mix_5	2	10	2	0.0971	
E5	scrambled_miRNA	L-Cysteine	mix_5	2	10	2	0.0906	
E6	scrambled_miRNA	L-Arginine	mix_5	3	10	2	0.095	
E7	scrambled_miRNA	L-Histidine	mix_5	3	10	2	0.0956	
E8	plant_miRNA	L-Histidine	mix_5	4	10	2	0.0932	
E9	plant_miRNA	L-Aspartic_acid	mix_5	4	10	2	0.1021	
E10	scrambled_miRNA	L-Aspartic_acid	mix_5	5	10	2	0.1026	
E11	plant_miRNA	L-Alanine	mix_5	5	10	2	0.0981	
E12	N.A.	L-Arginine	N.A.	N.A.	N.A.	2	0.0827	
F1	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	2	0.1169	
F2	scrambled_miRNA	L-Arginine	mix_5	1	10	2	0.0992	
F3	scrambled_miRNA	L-Histidine	mix_5	1	10	2	0.096	
F4	plant_miRNA	L-Glutamic_acid	mix_5	2	10	2	0.1072	
F5	plant_miRNA	L-Aspartic_acid	mix_5	2	10	2	0.1049	
F6	plant_miRNA	L-Cysteine	mix_5	3	10	2	0.0898	
F7	scrambled_miRNA	L-Alanine	mix_5	3	10	2	0.0942	
F8	scrambled_miRNA	L-Alanine	mix_5	4	10	2	0.1052	
F9	plant_miRNA	L-Arginine	mix_5	4	10	2	0.0966	
F10	scrambled_miRNA	L-Glutamic_acid	mix_5	5	10	2	0.0997	
F11	scrambled_miRNA	L-Cysteine	mix_5	5	10	2	0.0925	
F12	N.A.	L-Histidine	N.A.	N.A.	N.A.	2	0.0846	
G1	N.A.	L-Arginine	N.A.	N.A.	N.A.	2	0.1035	
G2	plant_miRNA	L-Arginine	mix_5	1	10	2	0.1058	
G3	plant_miRNA	L-Histidine	mix_5	1	10	2	0.0948	
G4	scrambled_miRNA	L-Glutamic_acid	mix_5	2	10	2	0.1011	
G5	scrambled_miRNA	L-Aspartic_acid	mix_5	2	10	2	0.1019	
G6	scrambled_miRNA	L-Cysteine	mix_5	3	10	2	0.0896	
G7	plant_miRNA	L-Alanine	mix_5	3	10	2	0.1043	
G8	plant_miRNA	L-Alanine	mix_5	4	10	2	0.0959	
G9	scrambled_miRNA	L-Arginine	mix_5	4	10	2	0.0969	
G10	plant_miRNA	L-Glutamic_acid	mix_5	5	10	2	0.0957	
G11	plant_miRNA	L-Cysteine	mix_5	5	10	2	0.0927	
G12	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	2	0.0865	
H4	N.A.	L-Histidine	N.A.	N.A.	N.A.	2	0.0819	
H5	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	2	0.0894	
H6	N.A.	L-Cysteine	N.A.	N.A.	N.A.	2	0.1213	
H7	N.A.	L-Arginine	N.A.	N.A.	N.A.	2	0.1181	
H8	N.A.	L-Alanine	N.A.	N.A.	N.A.	2	0.099	
H10	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	2	0.0899	
A4	N.A.	L-Alanine	N.A.	N.A.	N.A.	3	0.0925	
A5	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	3	0.0897	
A6	N.A.	L-Arginine	N.A.	N.A.	N.A.	3	0.0919	
A7	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	3	0.0927	
A8	N.A.	L-Histidine	N.A.	N.A.	N.A.	3	0.0852	
A9	N.A.	L-Cysteine	N.A.	N.A.	N.A.	3	0.0865	
B1	N.A.	L-Cysteine	N.A.	N.A.	N.A.	3	0.0979	
B2	scrambled_miRNA	L-Alanine	mix_5	1	10	3	0.1112	
B3	plant_miRNA	L-Glutamic_acid	mix_5	1	10	3	0.1093	
B4	plant_miRNA	L-Histidine	mix_5	2	10	3	0.0985	
B5	scrambled_miRNA	L-Arginine	mix_5	2	10	3	0.1053	
B6	plant_miRNA	L-Glutamic_acid	mix_5	3	10	3	0.1061	
B7	plant_miRNA	L-Aspartic_acid	mix_5	3	10	3	0.1172	
B8	plant_miRNA	L-Cysteine	mix_5	4	10	3	0.0935	
B9	scrambled_miRNA	L-Glutamic_acid	mix_5	4	10	3	0.1048	
B10	plant_miRNA	L-Arginine	mix_5	5	10	3	0.1041	
B11	plant_miRNA	L-Histidine	mix_5	5	10	3	0.0985	
B12	N.A.	L-Cysteine	N.A.	N.A.	N.A.	3	0.1097	
C1	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	3	0.0931	
C2	plant_miRNA	L-Alanine	mix_5	1	10	3	0.1104	
C3	scrambled_miRNA	L-Glutamic_acid	mix_5	1	10	3	0.1164	
C4	scrambled_miRNA	L-Histidine	mix_5	2	10	3	0.0978	
C5	plant_miRNA	L-Arginine	mix_5	2	10	3	0.1056	
C6	scrambled_miRNA	L-Glutamic_acid	mix_5	3	10	3	0.1122	
C7	scrambled_miRNA	L-Aspartic_acid	mix_5	3	10	3	0.1154	
C8	scrambled_miRNA	L-Cysteine	mix_5	4	10	3	0.0894	
C9	plant_miRNA	L-Glutamic_acid	mix_5	4	10	3	0.1058	
C10	scrambled_miRNA	L-Arginine	mix_5	5	10	3	0.1101	
C11	scrambled_miRNA	L-Histidine	mix_5	5	10	3	0.0965	
C12	N.A.	L-Alanine	N.A.	N.A.	N.A.	3	0.0805	
D1	N.A.	L-Histidine	N.A.	N.A.	N.A.	3	0.0872	
D2	plant_miRNA	L-Cysteine	mix_5	1	10	3	0.0927	
D3	plant_miRNA	L-Aspartic_acid	mix_5	1	10	3	0.1132	
D4	scrambled_miRNA	L-Alanine	mix_5	2	10	3	0.1055	
D5	plant_miRNA	L-Cysteine	mix_5	2	10	3	0.0916	
D6	plant_miRNA	L-Arginine	mix_5	3	10	3	0.1049	
D7	plant_miRNA	L-Histidine	mix_5	3	10	3	0.0995	
D8	scrambled_miRNA	L-Histidine	mix_5	4	10	3	0.0985	
D9	scrambled_miRNA	L-Aspartic_acid	mix_5	4	10	3	0.1178	
D10	plant_miRNA	L-Aspartic_acid	mix_5	5	10	3	0.1193	
D11	scrambled_miRNA	L-Alanine	mix_5	5	10	3	0.1076	
D12	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	3	0.0869	
E1	N.A.	L-Alanine	N.A.	N.A.	N.A.	3	0.0857	
E2	scrambled_miRNA	L-Cysteine	mix_5	1	10	3	0.0923	
E3	scrambled_miRNA	L-Aspartic_acid	mix_5	1	10	3	0.1124	
E4	plant_miRNA	L-Alanine	mix_5	2	10	3	0.1066	
E5	scrambled_miRNA	L-Cysteine	mix_5	2	10	3	0.0905	
E6	scrambled_miRNA	L-Arginine	mix_5	3	10	3	0.1002	
E7	scrambled_miRNA	L-Histidine	mix_5	3	10	3	0.0984	
E8	plant_miRNA	L-Histidine	mix_5	4	10	3	0.096	
E9	plant_miRNA	L-Aspartic_acid	mix_5	4	10	3	0.1142	
E10	scrambled_miRNA	L-Aspartic_acid	mix_5	5	10	3	0.1142	
E11	plant_miRNA	L-Alanine	mix_5	5	10	3	0.1086	
E12	N.A.	L-Arginine	N.A.	N.A.	N.A.	3	0.083	
F1	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	3	0.1136	
F2	scrambled_miRNA	L-Arginine	mix_5	1	10	3	0.1053	
F3	scrambled_miRNA	L-Histidine	mix_5	1	10	3	0.099	
F4	plant_miRNA	L-Glutamic_acid	mix_5	2	10	3	0.1148	
F5	plant_miRNA	L-Aspartic_acid	mix_5	2	10	3	0.1172	
F6	plant_miRNA	L-Cysteine	mix_5	3	10	3	0.0905	
F7	scrambled_miRNA	L-Alanine	mix_5	3	10	3	0.1031	
F8	scrambled_miRNA	L-Alanine	mix_5	4	10	3	0.1153	
F9	plant_miRNA	L-Arginine	mix_5	4	10	3	0.1024	
F10	scrambled_miRNA	L-Glutamic_acid	mix_5	5	10	3	0.1085	
F11	scrambled_miRNA	L-Cysteine	mix_5	5	10	3	0.0932	
F12	N.A.	L-Histidine	N.A.	N.A.	N.A.	3	0.0849	
G1	N.A.	L-Arginine	N.A.	N.A.	N.A.	3	0.0949	
G2	plant_miRNA	L-Arginine	mix_5	1	10	3	0.1123	
G3	plant_miRNA	L-Histidine	mix_5	1	10	3	0.0979	
G4	scrambled_miRNA	L-Glutamic_acid	mix_5	2	10	3	0.1105	
G5	scrambled_miRNA	L-Aspartic_acid	mix_5	2	10	3	0.1146	
G6	scrambled_miRNA	L-Cysteine	mix_5	3	10	3	0.0897	
G7	plant_miRNA	L-Alanine	mix_5	3	10	3	0.1142	
G8	plant_miRNA	L-Alanine	mix_5	4	10	3	0.1058	
G9	scrambled_miRNA	L-Arginine	mix_5	4	10	3	0.1035	
G10	plant_miRNA	L-Glutamic_acid	mix_5	5	10	3	0.1044	
G11	plant_miRNA	L-Cysteine	mix_5	5	10	3	0.0935	
G12	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	3	0.0865	
H4	N.A.	L-Histidine	N.A.	N.A.	N.A.	3	0.081	
H5	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	3	0.0865	
H6	N.A.	L-Cysteine	N.A.	N.A.	N.A.	3	0.1096	
H7	N.A.	L-Arginine	N.A.	N.A.	N.A.	3	0.1238	
H8	N.A.	L-Alanine	N.A.	N.A.	N.A.	3	0.0991	
H10	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	3	0.0839	
A4	N.A.	L-Alanine	N.A.	N.A.	N.A.	4	0.0929	
A5	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	4	0.0903	
A6	N.A.	L-Arginine	N.A.	N.A.	N.A.	4	0.0919	
A7	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	4	0.0927	
A8	N.A.	L-Histidine	N.A.	N.A.	N.A.	4	0.0852	
A9	N.A.	L-Cysteine	N.A.	N.A.	N.A.	4	0.088	
B1	N.A.	L-Cysteine	N.A.	N.A.	N.A.	4	0.0947	
B2	scrambled_miRNA	L-Alanine	mix_5	1	10	4	0.1434	
B3	plant_miRNA	L-Glutamic_acid	mix_5	1	10	4	0.1343	
B4	plant_miRNA	L-Histidine	mix_5	2	10	4	0.1056	
B5	scrambled_miRNA	L-Arginine	mix_5	2	10	4	0.1179	
B6	plant_miRNA	L-Glutamic_acid	mix_5	3	10	4	0.1249	
B7	plant_miRNA	L-Aspartic_acid	mix_5	3	10	4	0.149	
B8	plant_miRNA	L-Cysteine	mix_5	4	10	4	0.0959	
B9	scrambled_miRNA	L-Glutamic_acid	mix_5	4	10	4	0.1242	
B10	plant_miRNA	L-Arginine	mix_5	5	10	4	0.1157	
B11	plant_miRNA	L-Histidine	mix_5	5	10	4	0.1028	
B12	N.A.	L-Cysteine	N.A.	N.A.	N.A.	4	0.1208	
C1	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	4	0.0989	
C2	plant_miRNA	L-Alanine	mix_5	1	10	4	0.1463	
C3	scrambled_miRNA	L-Glutamic_acid	mix_5	1	10	4	0.1428	
C4	scrambled_miRNA	L-Histidine	mix_5	2	10	4	0.1046	
C5	plant_miRNA	L-Arginine	mix_5	2	10	4	0.1197	
C6	scrambled_miRNA	L-Glutamic_acid	mix_5	3	10	4	0.1328	
C7	scrambled_miRNA	L-Aspartic_acid	mix_5	3	10	4	0.1431	
C8	scrambled_miRNA	L-Cysteine	mix_5	4	10	4	0.0905	
C9	plant_miRNA	L-Glutamic_acid	mix_5	4	10	4	0.1241	
C10	scrambled_miRNA	L-Arginine	mix_5	5	10	4	0.1204	
C11	scrambled_miRNA	L-Histidine	mix_5	5	10	4	0.1009	
C12	N.A.	L-Alanine	N.A.	N.A.	N.A.	4	0.081	
D1	N.A.	L-Histidine	N.A.	N.A.	N.A.	4	0.0866	
