Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600
G11	scrambled_miRNA	L-Leucine	mix_5	5	10	0	0.082099997
G12	N.A.	Mix17	N.A.	N.A.	N.A.	0	0.073899999
H4	N.A.	L-Threonine	N.A.	N.A.	N.A.	0	0.076499999
H5	N.A.	L-Leucine	N.A.	N.A.	N.A.	0	0.076300003
H6	N.A.	L-Valine	N.A.	N.A.	N.A.	0	0.078599997
H7	N.A.	Mix17	N.A.	N.A.	N.A.	0	0.078199998
H8	N.A.	L-Phenylalanine	N.A.	N.A.	N.A.	0	0.078199998
H10	N.A.	L-Serine	N.A.	N.A.	N.A.	0	0.0757
A3	N.A.	L-Phenylalanine	N.A.	N.A.	N.A.	1	0.093500003
A4	N.A.	L-Threonine	N.A.	N.A.	N.A.	1	0.084299996
A5	N.A.	L-Serine	N.A.	N.A.	N.A.	1	0.080200002
A6	N.A.	L-Leucine	N.A.	N.A.	N.A.	1	0.087300003
A7	N.A.	L-Valine	N.A.	N.A.	N.A.	1	0.087499999
A8	N.A.	Mix17	N.A.	N.A.	N.A.	1	0.079999998
B1	N.A.	L-Phenylalanine	N.A.	N.A.	N.A.	1	0.0832
B2	plant_miRNA	L-Valine	mix_5	1	10	1	0.101599999
B3	scrambled_miRNA	L-Leucine	mix_5	1	10	1	0.093999997
B4	plant_miRNA	L-Serine	mix_5	2	10	1	0.096199997
B5	scrambled_miRNA	L-Threonine	mix_5	2	10	1	0.089599997
B6	scrambled_miRNA	L-Phenylalanine	mix_5	3	10	1	0.087200001
B7	plant_miRNA	Mix17	mix_5	3	10	1	0.087200001
B8	plant_miRNA	Mix17	mix_5	4	10	1	0.086800002
B9	plant_miRNA	L-Valine	mix_5	4	10	1	0.083300002
B10	scrambled_miRNA	L-Serine	mix_5	5	10	1	0.093999997
B11	scrambled_miRNA	L-Phenylalanine	mix_5	5	10	1	0.090099998
B12	N.A.	L-Leucine	N.A.	N.A.	N.A.	1	0.0766
C1	N.A.	L-Threonine	N.A.	N.A.	N.A.	1	0.081699997
C2	scrambled_miRNA	L-Valine	mix_5	1	10	1	0.077699997
C3	plant_miRNA	L-Leucine	mix_5	1	10	1	0.088200003
C4	scrambled_miRNA	L-Serine	mix_5	2	10	1	0.084700003
C5	plant_miRNA	L-Threonine	mix_5	2	10	1	0.077500001
C6	plant_miRNA	L-Phenylalanine	mix_5	3	10	1	0.082000002
C7	scrambled_miRNA	Mix17	mix_5	3	10	1	0.087899998
C8	scrambled_miRNA	Mix17	mix_5	4	10	1	0.085000001
C9	scrambled_miRNA	L-Valine	mix_5	4	10	1	0.085199997
C10	plant_miRNA	L-Serine	mix_5	5	10	1	0.075300001
C11	plant_miRNA	L-Phenylalanine	mix_5	5	10	1	0.079300001
C12	N.A.	L-Valine	N.A.	N.A.	N.A.	1	0.082000002
D1	N.A.	L-Leucine	N.A.	N.A.	N.A.	1	0.080799997
D2	scrambled_miRNA	L-Serine	mix_5	1	10	1	0.093000002
D3	scrambled_miRNA	L-Phenylalanine	mix_5	1	10	1	0.0911
D4	scrambled_miRNA	L-Phenylalanine	mix_5	2	10	1	0.088799998
D5	plant_miRNA	L-Valine	mix_5	2	10	1	0.085000001
D6	plant_miRNA	L-Leucine	mix_5	3	10	1	0.080499999
D7	plant_miRNA	L-Serine	mix_5	3	10	1	0.0801
D8	scrambled_miRNA	L-Threonine	mix_5	4	10	1	0.099399999
D9	scrambled_miRNA	L-Leucine	mix_5	4	10	1	0.084399998
D10	plant_miRNA	L-Threonine	mix_5	5	10	1	0.082999997
D11	plant_miRNA	Mix17	mix_5	5	10	1	0.083499998
D12	N.A.	L-Threonine	N.A.	N.A.	N.A.	1	0.077799998
E1	N.A.	L-Valine	N.A.	N.A.	N.A.	1	0.097099997
E2	plant_miRNA	L-Serine	mix_5	1	10	1	0.1021
E3	plant_miRNA	L-Phenylalanine	mix_5	1	10	1	0.084799998
E4	plant_miRNA	L-Phenylalanine	mix_5	2	10	1	0.097000003
E5	scrambled_miRNA	L-Valine	mix_5	2	10	1	0.091799997
E6	scrambled_miRNA	L-Leucine	mix_5	3	10	1	0.092
E7	scrambled_miRNA	L-Serine	mix_5	3	10	1	0.101999998
E8	plant_miRNA	L-Threonine	mix_5	4	10	1	0.097099997
E9	plant_miRNA	L-Leucine	mix_5	4	10	1	0.108599998
E10	scrambled_miRNA	L-Threonine	mix_5	5	10	1	0.1017
E11	scrambled_miRNA	Mix17	mix_5	5	10	1	0.105999999
E12	N.A.	L-Serine	N.A.	N.A.	N.A.	1	0.0792
F1	N.A.	Mix17	N.A.	N.A.	N.A.	1	0.081299998
F2	plant_miRNA	L-Threonine	mix_5	1	10	1	0.094099998
F3	scrambled_miRNA	Mix17	mix_5	1	10	1	0.0858
F4	plant_miRNA	L-Leucine	mix_5	2	10	1	0.081699997
F5	plant_miRNA	Mix17	mix_5	2	10	1	0.084200002
F6	plant_miRNA	L-Valine	mix_5	3	10	1	0.089900002
F7	scrambled_miRNA	L-Threonine	mix_5	3	10	1	0.086800002
F8	plant_miRNA	L-Phenylalanine	mix_5	4	10	1	0.086999997
F9	scrambled_miRNA	L-Serine	mix_5	4	10	1	0.099399999
F10	scrambled_miRNA	L-Valine	mix_5	5	10	1	0.087800004
F11	plant_miRNA	L-Leucine	mix_5	5	10	1	0.091399997
F12	N.A.	L-Phenylalanine	N.A.	N.A.	N.A.	1	0.072300002
G1	N.A.	L-Serine	N.A.	N.A.	N.A.	1	0.067199998
G2	scrambled_miRNA	L-Threonine	mix_5	1	10	1	0.079700001
G3	plant_miRNA	Mix17	mix_5	1	10	1	0.088600002
G4	scrambled_miRNA	L-Leucine	mix_5	2	10	1	0.073200002
G5	scrambled_miRNA	Mix17	mix_5	2	10	1	0.082599998
G6	scrambled_miRNA	L-Valine	mix_5	3	10	1	0.077399999
G7	plant_miRNA	L-Threonine	mix_5	3	10	1	0.079700001
G8	scrambled_miRNA	L-Phenylalanine	mix_5	4	10	1	0.075300001
G9	plant_miRNA	L-Serine	mix_5	4	10	1	0.076899998
G10	plant_miRNA	L-Valine	mix_5	5	10	1	0.080499999
G11	scrambled_miRNA	L-Leucine	mix_5	5	10	1	0.079099998
G12	N.A.	Mix17	N.A.	N.A.	N.A.	1	0.069399998
H4	N.A.	L-Threonine	N.A.	N.A.	N.A.	1	0.070600003
H5	N.A.	L-Leucine	N.A.	N.A.	N.A.	1	0.073399998
H6	N.A.	L-Valine	N.A.	N.A.	N.A.	1	0.078500003
H7	N.A.	Mix17	N.A.	N.A.	N.A.	1	0.067699999
H8	N.A.	L-Phenylalanine	N.A.	N.A.	N.A.	1	0.067299999
H10	N.A.	L-Serine	N.A.	N.A.	N.A.	1	0.081500001
A3	N.A.	L-Phenylalanine	N.A.	N.A.	N.A.	2	0.091200002
A4	N.A.	L-Threonine	N.A.	N.A.	N.A.	2	0.088699996
A5	N.A.	L-Serine	N.A.	N.A.	N.A.	2	0.082500003
A6	N.A.	L-Leucine	N.A.	N.A.	N.A.	2	0.0911
A7	N.A.	L-Valine	N.A.	N.A.	N.A.	2	0.0911
A8	N.A.	Mix17	N.A.	N.A.	N.A.	2	0.083300002
B1	N.A.	L-Phenylalanine	N.A.	N.A.	N.A.	2	0.076499999
B2	plant_miRNA	L-Valine	mix_5	1	10	2	0.096900001
B3	scrambled_miRNA	L-Leucine	mix_5	1	10	2	0.094499998
B4	plant_miRNA	L-Serine	mix_5	2	10	2	0.095200002
B5	scrambled_miRNA	L-Threonine	mix_5	2	10	2	0.095799997
B6	scrambled_miRNA	L-Phenylalanine	mix_5	3	10	2	0.093400002
B7	plant_miRNA	Mix17	mix_5	3	10	2	0.103100002
B8	plant_miRNA	Mix17	mix_5	4	10	2	0.106200002
B9	plant_miRNA	L-Valine	mix_5	4	10	2	0.1043
B10	scrambled_miRNA	L-Serine	mix_5	5	10	2	0.094899997
B11	scrambled_miRNA	L-Phenylalanine	mix_5	5	10	2	0.096500002
B12	N.A.	L-Leucine	N.A.	N.A.	N.A.	2	0.082500003
C1	N.A.	L-Threonine	N.A.	N.A.	N.A.	2	0.075400002
C2	scrambled_miRNA	L-Valine	mix_5	1	10	2	0.096199997
C3	plant_miRNA	L-Leucine	mix_5	1	10	2	0.088100001
C4	scrambled_miRNA	L-Serine	mix_5	2	10	2	0.086300001
C5	plant_miRNA	L-Threonine	mix_5	2	10	2	0.087300003
C6	plant_miRNA	L-Phenylalanine	mix_5	3	10	2	0.0898
C7	scrambled_miRNA	Mix17	mix_5	3	10	2	0.095100001
C8	scrambled_miRNA	Mix17	mix_5	4	10	2	0.100000001
C9	scrambled_miRNA	L-Valine	mix_5	4	10	2	0.091200002
C10	plant_miRNA	L-Serine	mix_5	5	10	2	0.0876
C11	plant_miRNA	L-Phenylalanine	mix_5	5	10	2	0.096100003
C12	N.A.	L-Valine	N.A.	N.A.	N.A.	2	0.072499998
D1	N.A.	L-Leucine	N.A.	N.A.	N.A.	2	0.078500003
D2	scrambled_miRNA	L-Serine	mix_5	1	10	2	0.095600002
D3	scrambled_miRNA	L-Phenylalanine	mix_5	1	10	2	0.090899996
D4	scrambled_miRNA	L-Phenylalanine	mix_5	2	10	2	0.095600002
D5	plant_miRNA	L-Valine	mix_5	2	10	2	0.095100001
D6	plant_miRNA	L-Leucine	mix_5	3	10	2	0.092299998
D7	plant_miRNA	L-Serine	mix_5	3	10	2	0.095100001
D8	scrambled_miRNA	L-Threonine	mix_5	4	10	2	0.095399998
D9	scrambled_miRNA	L-Leucine	mix_5	4	10	2	0.088100001
D10	plant_miRNA	L-Threonine	mix_5	5	10	2	0.092500001
D11	plant_miRNA	Mix17	mix_5	5	10	2	0.106899999
D12	N.A.	L-Threonine	N.A.	N.A.	N.A.	2	0.070299998
E1	N.A.	L-Valine	N.A.	N.A.	N.A.	2	0.094400004
E2	plant_miRNA	L-Serine	mix_5	1	10	2	0.111400001
E3	plant_miRNA	L-Phenylalanine	mix_5	1	10	2	0.104099996
E4	plant_miRNA	L-Phenylalanine	mix_5	2	10	2	0.114100002
E5	scrambled_miRNA	L-Valine	mix_5	2	10	2	0.100199997
E6	scrambled_miRNA	L-Leucine	mix_5	3	10	2	0.104599997
E7	scrambled_miRNA	L-Serine	mix_5	3	10	2	0.105899997
E8	plant_miRNA	L-Threonine	mix_5	4	10	2	0.114799999
E9	plant_miRNA	L-Leucine	mix_5	4	10	2	0.104800001
E10	scrambled_miRNA	L-Threonine	mix_5	5	10	2	0.104099996
E11	scrambled_miRNA	Mix17	mix_5	5	10	2	0.111900002
E12	N.A.	L-Serine	N.A.	N.A.	N.A.	2	0.090300001
F1	N.A.	Mix17	N.A.	N.A.	N.A.	2	0.084600002
F2	plant_miRNA	L-Threonine	mix_5	1	10	2	0.1061
F3	scrambled_miRNA	Mix17	mix_5	1	10	2	0.110799998
F4	plant_miRNA	L-Leucine	mix_5	2	10	2	0.105800003
F5	plant_miRNA	Mix17	mix_5	2	10	2	0.108499996
F6	plant_miRNA	L-Valine	mix_5	3	10	2	0.104800001
F7	scrambled_miRNA	L-Threonine	mix_5	3	10	2	0.094599999
F8	plant_miRNA	L-Phenylalanine	mix_5	4	10	2	0.099399999
F9	scrambled_miRNA	L-Serine	mix_5	4	10	2	0.100699998
F10	scrambled_miRNA	L-Valine	mix_5	5	10	2	0.094300002
F11	plant_miRNA	L-Leucine	mix_5	5	10	2	0.096699998
F12	N.A.	L-Phenylalanine	N.A.	N.A.	N.A.	2	0.078900002
G1	N.A.	L-Serine	N.A.	N.A.	N.A.	2	0.075900003
G2	scrambled_miRNA	L-Threonine	mix_5	1	10	2	0.092
G3	plant_miRNA	Mix17	mix_5	1	10	2	0.100299999
G4	scrambled_miRNA	L-Leucine	mix_5	2	10	2	0.089199997
G5	scrambled_miRNA	Mix17	mix_5	2	10	2	0.092699997
G6	scrambled_miRNA	L-Valine	mix_5	3	10	2	0.082800001
G7	plant_miRNA	L-Threonine	mix_5	3	10	2	0.087099999
G8	scrambled_miRNA	L-Phenylalanine	mix_5	4	10	2	0.083899997
G9	plant_miRNA	L-Serine	mix_5	4	10	2	0.081
G10	plant_miRNA	L-Valine	mix_5	5	10	2	0.088699996
G11	scrambled_miRNA	L-Leucine	mix_5	5	10	2	0.089000002
G12	N.A.	Mix17	N.A.	N.A.	N.A.	2	0.0691
H4	N.A.	L-Threonine	N.A.	N.A.	N.A.	2	0.075400002
H5	N.A.	L-Leucine	N.A.	N.A.	N.A.	2	0.0788
