Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600
G12	N.A.	L-Lysine	N.A.	N.A.	N.A.	0	0.083
H4	N.A.	L-Methionine	N.A.	N.A.	N.A.	0	0.0899
H5	N.A.	L-Isoleucine	N.A.	N.A.	N.A.	0	0.0887
H6	N.A.	L-Tryptophan	N.A.	N.A.	N.A.	0	0.0927
H7	N.A.	Glycine	N.A.	N.A.	N.A.	0	0.0915
H9	N.A.	L-Lysine	N.A.	N.A.	N.A.	0	0.0983
H11	N.A.	L-Proline	N.A.	N.A.	N.A.	0	0.091
A4	N.A.	L-Lysine	N.A.	N.A.	N.A.	1	0.0787
A5	N.A.	L-Tryptophan	N.A.	N.A.	N.A.	1	0.0822
A6	N.A.	L-Proline	N.A.	N.A.	N.A.	1	0.085
A7	N.A.	Glycine	N.A.	N.A.	N.A.	1	0.0871
A8	N.A.	L-Isoleucine	N.A.	N.A.	N.A.	1	0.09
A9	N.A.	L-Methionine	N.A.	N.A.	N.A.	1	0.0876
B1	N.A.	L-Tryptophan	N.A.	N.A.	N.A.	1	0.095
B2	plant_miRNA	L-Isoleucine	mix_5	1	10	1	0.1019
B3	plant_miRNA	L-Tryptophan	mix_5	1	10	1	0.0916
B4	scrambled_miRNA	Glycine	mix_5	2	10	1	0.0947
B5	plant_miRNA	L-Lysine	mix_5	2	10	1	0.0931
B6	scrambled_miRNA	L-Methionine	mix_5	3	10	1	0.0936
B7	plant_miRNA	Glycine	mix_5	3	10	1	0.0963
B8	scrambled_miRNA	L-Tryptophan	mix_5	4	10	1	0.0956
B9	plant_miRNA	L-Proline	mix_5	4	10	1	0.0941
B10	scrambled_miRNA	L-Lysine	mix_5	5	10	1	0.0928
B11	scrambled_miRNA	L-Isoleucine	mix_5	5	10	1	0.0892
B12	N.A.	L-Isoleucine	N.A.	N.A.	N.A.	1	0.0849
C1	N.A.	L-Isoleucine	N.A.	N.A.	N.A.	1	0.0909
