#SampleID	alias	Treatment	Plant	Nitrogen	Compartment	Block
HI.5212.007.RPI18.61	61-8BY	8BYR	Brachypodium	Amino.Acids	Rhizosphere	8
HI.5212.007.RPI19.62	62-8BB	8BBR	Brachypodium	NH4NO3	Rhizosphere	8
HI.5212.007.RPI20.63	63-8BR	8BRR	Brachypodium	No.Added.Nitrogen	Rhizosphere	8
HI.5212.007.RPI21.64	64-9AY	9AYR	Arabidopsis	Amino.Acids	Rhizosphere	9
HI.5212.008.RPI23.66	66-9AR	9ARR	Arabidopsis	No.Added.Nitrogen	Rhizosphere	9
HI.5212.008.RPI24.67	67-9BY	9BYR	Brachypodium	Amino.Acids	Rhizosphere	9
HI.5212.008.RPI41.68	68-9BB	9BBR	Brachypodium	NH4NO3	Rhizosphere	9
HI.5212.008.RPI42.69	69-9BR	9BRR	Brachypodium	No.Added.Nitrogen	Rhizosphere	9
HI.5212.008.RPI43.70	70-10AY	10AYR	Arabidopsis	Amino.Acids	Rhizosphere	10
HI.5212.008.RPI28.71	71-10AB	10ABR	Arabidopsis	NH4NO3	Rhizosphere	10
HI.5212.008.RPI29.72	72-10AR	10ARR	Arabidopsis	No.Added.Nitrogen	Rhizosphere	10
HI.5212.008.RPI30.73	73-10BY	10BYR	Brachypodium	Amino.Acids	Rhizosphere	10
HI.5212.008.RPI31.74	74-10BB	10BBR	Brachypodium	NH4NO3	Rhizosphere	10
HI.5212.008.RPI33.75	75-10BR	10BRR	Brachypodium	No.Added.Nitrogen	Rhizosphere	10
HI.5212.008.RPI34.76	76-2AY	2AYE	Arabidopsis	Amino.Acids	Endosphere	2
HI.5212.008.RPI35.77	77-2AB	2ABE	Arabidopsis	NH4NO3	Endosphere	2
HI.5212.008.RPI36.78	78-2AR	2ARE	Arabidopsis	No.Added.Nitrogen	Endosphere	2
HI.5212.008.RPI37.79	79-2BY	2BYE	Brachypodium	Amino.Acids	Endosphere	2
HI.5212.008.RPI38.80	80-2BB	2BBE	Brachypodium	NH4NO3	Endosphere	2
HI.5212.008.RPI39.81	81-2BR	2BRE	Brachypodium	No.Added.Nitrogen	Endosphere	2
HI.5212.008.RPI40.82	82-4AY	4AYE	Arabidopsis	Amino.Acids	Endosphere	4
HI.5212.008.RPI25.83	83-4AB	4ABE	Arabidopsis	NH4NO3	Endosphere	4
HI.5212.008.RPI26.84	84-4AR	4ARE	Arabidopsis	No.Added.Nitrogen	Endosphere	4
HI.5212.008.RPI27.85	85-4BY	4BYE	Brachypodium	Amino.Acids	Endosphere	4
HI.5212.008.RPI44.86	86-4BB	4BBE	Brachypodium	NH4NO3	Endosphere	4
HI.5212.008.RPI45.87	87-4BR	4BRE	Brachypodium	No.Added.Nitrogen	Endosphere	4
HI.5212.008.RPI46.88	88-8AY	8AYE	Arabidopsis	Amino.Acids	Endosphere	8
HI.5212.008.RPI47.89	89-8AB	8ABE	Arabidopsis	NH4NO3	Endosphere	8
HI.5212.008.RPI48.90	90-8AR	8ARE	Arabidopsis	No.Added.Nitrogen	Endosphere	8
HI.5212.008.RPI1.91	91-8BY	8BYE	Brachypodium	Amino.Acids	Endosphere	8
HI.5212.008.RPI2.92	92-8BB	8BBE	Brachypodium	NH4NO3	Endosphere	8
HI.5212.008.RPI3.93	93-8BR	8BRE	Brachypodium	No.Added.Nitrogen	Endosphere	8
HI.5212.008.RPI4.94	94-9AY	9AYE	Arabidopsis	Amino.Acids	Endosphere	9
HI.5212.008.RPI5.95	95-9AB	9ABE	Arabidopsis	NH4NO3	Endosphere	9
HI.5212.008.RPI6.96	96-9AR	9ARE	Arabidopsis	No.Added.Nitrogen	Endosphere	9
HI.5212.008.RPI7.97	97-9BY	9BYE	Brachypodium	Amino.Acids	Endosphere	9
HI.5212.008.RPI8.98	98-9BB	9BBE	Brachypodium	NH4NO3	Endosphere	9
HI.5212.008.RPI9.99	99-9BR	9BRE	Brachypodium	No.Added.Nitrogen	Endosphere	9
HI.5212.008.RPI10.100	100-10AY	10AYE	Arabidopsis	Amino.Acids	Endosphere	10
HI.5212.006.RPI1.101	101-10AB	10ABE	Arabidopsis	NH4NO3	Endosphere	10
HI.5212.006.RPI2.102	102-10AR	10ARE	Arabidopsis	No.Added.Nitrogen	Endosphere	10
HI.5212.006.RPI3.103	103-10BY	10BYE	Brachypodium	Amino.Acids	Endosphere	10
HI.5212.006.RPI4.104	104-10BB	10BBE	Brachypodium	NH4NO3	Endosphere	10
HI.5212.006.RPI5.105	105-10BR	10BRE	Brachypodium	No.Added.Nitrogen	Endosphere	10
