Well_ID;Treatment;N_Source;Pair;Dose (uM);Time;OD520
A1;plant_miRNA;L-Proline;1;2;0;2.468600035
A2;scrambled_miRNA;L-Proline;1;2;0;2.132499933
A3;control;L-Proline;1;2;0;2.073299885
A4;plant_miRNA;L-Proline;2;2;0;2.087899923
A5;scrambled_miRNA;L-Proline;2;2;0;2.343499899
A6;control;L-Proline;2;2;0;2.552000046
A7;plant_miRNA;L-Proline;3;2;0;2.291800022
A8;scrambled_miRNA;L-Proline;3;2;0;2.643199921
B1;control;L-Proline;3;2;0;2.875400066
B2;plant_miRNA;L-Proline;4;2;0;2.202100039
B3;scrambled_miRNA;L-Proline;4;2;0;2.042299986
B4;control;L-Proline;4;2;0;2.216599941
B5;plant_miRNA;L-Proline;5;2;0;2.01970005
B6;scrambled_miRNA;L-Proline;5;2;0;2.418299913
B7;control;L-Proline;5;2;0;2.178299904
C1;plant_miRNA;L-Proline;1;2;18;1.400699973
C2;scrambled_miRNA;L-Proline;1;2;18;1.369400024
C3;control;L-Proline;1;2;18;1.84070003
C4;plant_miRNA;L-Proline;2;2;18;0.782700002
C5;scrambled_miRNA;L-Proline;2;2;18;0.724300027
C6;control;L-Proline;2;2;18;2.24729991
C7;plant_miRNA;L-Proline;3;2;18;0.806200027
C8;scrambled_miRNA;L-Proline;3;2;18;1.080299973
D1;control;L-Proline;3;2;18;2.447400093
D2;plant_miRNA;L-Proline;4;2;18;0.690800011
D3;scrambled_miRNA;L-Proline;4;2;18;0.675199986
D4;control;L-Proline;4;2;18;1.897500038
D5;plant_miRNA;L-Proline;5;2;18;0.564800024
D6;scrambled_miRNA;L-Proline;5;2;18;0.640200019
D7;control;L-Proline;5;2;18;2.241300106
E1;std;L-Proline;N.A.;0;2;0.054200001
E2;std;L-Proline;N.A.;62.5;2;0.131899998
E3;std;L-Proline;N.A.;125;2;0.221699998
E4;std;L-Proline;N.A.;250;2;0.411500007
E5;std;L-Proline;N.A.;500;2;0.858399987
E6;std;L-Proline;N.A.;1000;2;1.551200032
E7;std;L-Proline;N.A.;2000;2;2.428900003
E8;std;L-Proline;N.A.;4000;2;3.28399992
G1;plant_miRNA;L-Proline;1;2;24;0.701099992
G2;scrambled_miRNA;L-Proline;1;2;24;0.67930001
G3;control;L-Proline;1;2;24;1.894799948
G4;plant_miRNA;L-Proline;2;2;24;0.051600002
G5;scrambled_miRNA;L-Proline;2;2;24;0.046
G6;control;L-Proline;2;2;24;2.2026999
G7;plant_miRNA;L-Proline;3;2;24;0.048900001
G8;scrambled_miRNA;L-Proline;3;2;24;0.0471
H1;control;L-Proline;3;2;24;2.9993999
H2;plant_miRNA;L-Proline;4;2;24;0.045699999
H3;scrambled_miRNA;L-Proline;4;2;24;0.045600001
H4;control;L-Proline;4;2;24;2.097300053
H5;plant_miRNA;L-Proline;5;2;24;0.045299999
H6;scrambled_miRNA;L-Proline;5;2;24;0.046599999
H7;control;L-Proline;5;2;24;2.538599968
A10;scrambled_miRNA;L-Proline;3;2;28;0.065200001
B10;plant_miRNA;L-Proline;3;2;28;0.052299999
C10;control;L-Proline;2;2;28;2.17869997
D10;scrambled_miRNA;L-Proline;2;2;28;0.045600001
E10;plant_miRNA;L-Proline;2;2;28;0.055199999
F10;control;L-Proline;1;2;28;2.438899994
G10;scrambled_miRNA;L-Proline;1;2;28;0.047600001
H10;plant_miRNA;L-Proline;1;2;28;0.047899999
A11;control;L-Proline;5;2;28;2.614099979
B11;scrambled_miRNA;L-Proline;5;2;28;0.053800002
C11;plant_miRNA;L-Proline;5;2;28;0.049199998
D11;control;L-Proline;4;2;28;2.251100063
E11;scrambled_miRNA;L-Proline;4;2;28;0.057700001
F11;plant_miRNA;L-Proline;4;2;28;0.0572
G11;control;L-Proline;3;2;28;2.418499947
