Well_ID;Treatment;N_Source;Pair;Dose (uM);Time;OD520
A1;plant_miRNA;L-Proline;1;2;24;0.672200024
A2;scrambled_miRNA;L-Proline;1;2;24;1.001899958
A3;control;L-Proline;1;2;24;2.487999916
A4;plant_miRNA;L-Proline;2;2;24;0.059700001
A5;scrambled_miRNA;L-Proline;2;2;24;0.057599999
A6;control;L-Proline;2;2;24;3.341700077
A7;plant_miRNA;L-Proline;3;2;24;0.062600002
A8;scrambled_miRNA;L-Proline;3;2;24;0.063600004
B1;control;L-Proline;3;2;24;3.130899906
B2;plant_miRNA;L-Proline;4;2;24;0.050700001
B3;scrambled_miRNA;L-Proline;4;2;24;0.050900001
B4;control;L-Proline;4;2;24;2.112999916
B5;plant_miRNA;L-Proline;5;2;24;0.0515
B6;scrambled_miRNA;L-Proline;5;2;24;0.0535
B7;control;L-Proline;5;2;24;2.431999922
C1;plant_miRNA;L-Proline;1;2;18;1.146499991
C2;scrambled_miRNA;L-Proline;1;2;18;1.153800011
C3;control;L-Proline;1;2;18;1.723799944
C4;plant_miRNA;L-Proline;2;2;18;0.714399993
C5;scrambled_miRNA;L-Proline;2;2;18;0.730599999
C6;control;L-Proline;2;2;18;2.126199961
C7;plant_miRNA;L-Proline;3;2;18;0.759000003
C8;scrambled_miRNA;L-Proline;3;2;18;0.755800009
D1;control;L-Proline;3;2;18;2.09800005
D2;plant_miRNA;L-Proline;4;2;18;0.659600019
D3;scrambled_miRNA;L-Proline;4;2;18;0.623099983
D4;control;L-Proline;4;2;18;1.950999975
D5;plant_miRNA;L-Proline;5;2;18;0.577000022
D6;scrambled_miRNA;L-Proline;5;2;18;0.599699974
D7;control;L-Proline;5;2;18;1.944499969
E1;std;L-Proline;N.A.;0;2;0.054299999
E2;std;L-Proline;N.A.;62.5;2;0.133900002
E3;std;L-Proline;N.A.;125;2;0.224299997
E4;std;L-Proline;N.A.;250;2;0.420700014
E5;std;L-Proline;N.A.;500;2;0.900300026
E6;std;L-Proline;N.A.;1000;2;1.54400003
E7;std;L-Proline;N.A.;2000;2;2.25
E8;std;L-Proline;N.A.;4000;2;3.85529995
G1;plant_miRNA;L-Proline;1;2;0;2.055700064
G2;scrambled_miRNA;L-Proline;1;2;0;1.532999992
G3;control;L-Proline;1;2;0;2.101799965
G4;plant_miRNA;L-Proline;2;2;0;1.734799981
G5;scrambled_miRNA;L-Proline;2;2;0;1.878200054
G6;control;L-Proline;2;2;0;1.747599959
G7;plant_miRNA;L-Proline;3;2;0;2.039499998
G8;scrambled_miRNA;L-Proline;3;2;0;1.637099981
H1;control;L-Proline;3;2;0;1.891499996
H2;plant_miRNA;L-Proline;4;2;0;1.640100002
H3;scrambled_miRNA;L-Proline;4;2;0;1.571099997
H4;control;L-Proline;4;2;0;1.79429996
H5;plant_miRNA;L-Proline;5;2;0;1.680999994
H6;scrambled_miRNA;L-Proline;5;2;0;1.578400016
H7;control;L-Proline;5;2;0;1.901000023
A10;scrambled_miRNA;L-Proline;3;2;28;0.066299997
B10;plant_miRNA;L-Proline;3;2;28;0.0528
C10;control;L-Proline;2;2;28;2.32130003
D10;scrambled_miRNA;L-Proline;2;2;28;0.046100002
E10;plant_miRNA;L-Proline;2;2;28;0.056499999
F10;control;L-Proline;1;2;28;2.118000031
G10;scrambled_miRNA;L-Proline;1;2;28;0.0495
H10;plant_miRNA;L-Proline;1;2;28;0.047699999
A11;control;L-Proline;5;2;28;2.611299992
B11;scrambled_miRNA;L-Proline;5;2;28;0.0548
C11;plant_miRNA;L-Proline;5;2;28;0.049199998
D11;control;L-Proline;4;2;28;1.991000056
E11;scrambled_miRNA;L-Proline;4;2;28;0.0583
F11;plant_miRNA;L-Proline;4;2;28;0.0535
G11;control;L-Proline;3;2;28;2.108099937
