Well_ID;Treatment;N_Source;Pair;Dose (uM);Time;OD520
A1;plant_miRNA;L-Proline;1;2;0;2.262150049
A2;scrambled_miRNA;L-Proline;1;2;0;1.832749963
A3;control;L-Proline;1;2;0;2.087549925
A4;plant_miRNA;L-Proline;2;2;0;1.911349952
A5;scrambled_miRNA;L-Proline;2;2;0;2.110849977
A6;control;L-Proline;2;2;0;2.149800003
A7;plant_miRNA;L-Proline;3;2;0;2.16565001
A8;scrambled_miRNA;L-Proline;3;2;0;2.140149951
B1;control;L-Proline;3;2;0;2.383450031
B2;plant_miRNA;L-Proline;4;2;0;1.92110002
B3;scrambled_miRNA;L-Proline;4;2;0;1.806699991
B4;control;L-Proline;4;2;0;2.005449951
B5;plant_miRNA;L-Proline;5;2;0;1.850350022
B6;scrambled_miRNA;L-Proline;5;2;0;1.998349965
B7;control;L-Proline;5;2;0;2.039649963
C1;plant_miRNA;L-Proline;1;2;18;1.273599982
C2;scrambled_miRNA;L-Proline;1;2;18;1.261600018
C3;control;L-Proline;1;2;18;1.782249987
C4;plant_miRNA;L-Proline;2;2;18;0.748549998
C5;scrambled_miRNA;L-Proline;2;2;18;0.727450013
C6;control;L-Proline;2;2;18;2.186749935
C7;plant_miRNA;L-Proline;3;2;18;0.782600015
C8;scrambled_miRNA;L-Proline;3;2;18;0.918049991
D1;control;L-Proline;3;2;18;2.272700071
D2;plant_miRNA;L-Proline;4;2;18;0.675200015
D3;scrambled_miRNA;L-Proline;4;2;18;0.649149984
D4;control;L-Proline;4;2;18;1.924250007
D5;plant_miRNA;L-Proline;5;2;18;0.570900023
D6;scrambled_miRNA;L-Proline;5;2;18;0.619949996
D7;control;L-Proline;5;2;18;2.092900038
E1;std;L-Proline;N.A.;0;2;0.05425
E2;std;L-Proline;N.A.;62.5;2;0.1329
E3;std;L-Proline;N.A.;125;2;0.222999997
E4;std;L-Proline;N.A.;250;2;0.41610001
E5;std;L-Proline;N.A.;500;2;0.879350007
E6;std;L-Proline;N.A.;1000;2;1.547600031
E7;std;L-Proline;N.A.;2000;2;2.339450002
E8;std;L-Proline;N.A.;4000;2;3.569649935
G1;plant_miRNA;L-Proline;1;2;24;0.686650008
G2;scrambled_miRNA;L-Proline;1;2;24;0.840599984
G3;control;L-Proline;1;2;24;2.191399932
G4;plant_miRNA;L-Proline;2;2;24;0.055650001
G5;scrambled_miRNA;L-Proline;2;2;24;0.0518
G6;control;L-Proline;2;2;24;2.772199988
G7;plant_miRNA;L-Proline;3;2;24;0.055750001
G8;scrambled_miRNA;L-Proline;3;2;24;0.055350002
H1;control;L-Proline;3;2;24;3.065149903
H2;plant_miRNA;L-Proline;4;2;24;0.0482
H3;scrambled_miRNA;L-Proline;4;2;24;0.048250001
H4;control;L-Proline;4;2;24;2.105149984
H5;plant_miRNA;L-Proline;5;2;24;0.0484
H6;scrambled_miRNA;L-Proline;5;2;24;0.05005
H7;control;L-Proline;5;2;24;2.485299945
A10;scrambled_miRNA;L-Proline;3;2;28;0.065749999
B10;plant_miRNA;L-Proline;3;2;28;0.052549999
C10;control;L-Proline;2;2;28;2.25
D10;scrambled_miRNA;L-Proline;2;2;28;0.045850001
E10;plant_miRNA;L-Proline;2;2;28;0.055849999
F10;control;L-Proline;1;2;28;2.278450012
G10;scrambled_miRNA;L-Proline;1;2;28;0.04855
H10;plant_miRNA;L-Proline;1;2;28;0.047799999
A11;control;L-Proline;5;2;28;2.612699986
B11;scrambled_miRNA;L-Proline;5;2;28;0.054300001
C11;plant_miRNA;L-Proline;5;2;28;0.049199998
D11;control;L-Proline;4;2;28;2.12105006
E11;scrambled_miRNA;L-Proline;4;2;28;0.058
F11;plant_miRNA;L-Proline;4;2;28;0.05535
G11;control;L-Proline;3;2;28;2.263299942
