Well_ID;Treatment;N_Source;Pair;Dose (uM);Time;OD520
A1;plant_miRNA;L-Proline;1;2;0;2.097300053
A2;scrambled_miRNA;L-Proline;1;2;0;1.866400003
A3;control;L-Proline;1;2;0;2.225399971
A4;plant_miRNA;L-Proline;2;2;0;1.864899993
A5;scrambled_miRNA;L-Proline;2;2;0;2.3197999
A6;control;L-Proline;2;2;0;2.296700001
A7;plant_miRNA;L-Proline;3;2;0;1.996299982
A8;scrambled_miRNA;L-Proline;3;2;0;1.817700028
B1;control;L-Proline;3;2;0;2.236999989
B2;plant_miRNA;L-Proline;4;2;0;1.653399944
B3;scrambled_miRNA;L-Proline;4;2;0;1.612400055
B4;control;L-Proline;4;2;0;1.681900024
B5;plant_miRNA;L-Proline;5;2;0;1.538200021
B6;scrambled_miRNA;L-Proline;5;2;0;1.548900008
B7;control;L-Proline;5;2;0;1.968000054
C1;plant_miRNA;L-Proline;1;2;12;1.789000034
C2;scrambled_miRNA;L-Proline;1;2;12;1.635699987
C3;control;L-Proline;1;2;12;1.9023
C4;plant_miRNA;L-Proline;2;2;12;1.64320004
C5;scrambled_miRNA;L-Proline;2;2;12;1.533499956
C6;control;L-Proline;2;2;12;1.752400041
C7;plant_miRNA;L-Proline;3;2;12;1.480100036
C8;scrambled_miRNA;L-Proline;3;2;12;1.623299956
D1;control;L-Proline;3;2;12;1.753700018
D2;plant_miRNA;L-Proline;4;2;12;1.45539999
D3;scrambled_miRNA;L-Proline;4;2;12;1.405699968
D4;control;L-Proline;4;2;12;1.671200037
D5;plant_miRNA;L-Proline;5;2;12;1.529700041
D6;scrambled_miRNA;L-Proline;5;2;12;1.550199986
D7;control;L-Proline;5;2;12;1.76699996
E1;std;L-Proline;N.A.;0;2;0.054900002
E2;std;L-Proline;N.A.;62.5;2;0.121100001
E3;std;L-Proline;N.A.;125;2;0.196199998
E4;std;L-Proline;N.A.;250;2;0.360399991
E5;std;L-Proline;N.A.;500;2;0.764999986
E6;std;L-Proline;N.A.;1000;2;1.390100002
E7;std;L-Proline;N.A.;2000;2;2.291199923
E8;std;L-Proline;N.A.;4000;2;0.052299999
G1;plant_miRNA;L-Proline;1;2;18;1.26820004
G2;scrambled_miRNA;L-Proline;1;2;18;0.985300004
G3;control;L-Proline;1;2;18;1.75150001
G4;plant_miRNA;L-Proline;2;2;18;0.905700028
G5;scrambled_miRNA;L-Proline;2;2;18;0.911499977
G6;control;L-Proline;2;2;18;1.728700042
G7;plant_miRNA;L-Proline;3;2;18;1.010900021
G8;scrambled_miRNA;L-Proline;3;2;18;0.867699981
H1;control;L-Proline;3;2;18;2.238699913
H2;plant_miRNA;L-Proline;4;2;18;0.943599999
H3;scrambled_miRNA;L-Proline;4;2;18;1.000399947
H4;control;L-Proline;4;2;18;1.633299947
H5;plant_miRNA;L-Proline;5;2;18;0.984899998
H6;scrambled_miRNA;L-Proline;5;2;18;1.016100049
H7;control;L-Proline;5;2;18;1.865499973
A10;scrambled_miRNA;L-Proline;3;2;24;0.055199999
B10;plant_miRNA;L-Proline;3;2;24;0.263399988
C10;control;L-Proline;2;2;24;2.212899923
D10;scrambled_miRNA;L-Proline;2;2;24;0.054699998
E10;plant_miRNA;L-Proline;2;2;24;0.185299993
F10;control;L-Proline;1;2;24;2.018599987
G10;scrambled_miRNA;L-Proline;1;2;24;0.045000002
H10;plant_miRNA;L-Proline;1;2;24;0.042300001
A11;control;L-Proline;5;2;24;2.821199894
B11;scrambled_miRNA;L-Proline;5;2;24;0.259600013
C11;plant_miRNA;L-Proline;5;2;24;0.150000006
D11;control;L-Proline;4;2;24;2.434999943
E11;scrambled_miRNA;L-Proline;4;2;24;0.67019999
F11;plant_miRNA;L-Proline;4;2;24;0.049699999
G11;control;L-Proline;3;2;24;2.72300005
