Well_ID;Treatment;N_Source;Pair;Dose (uM);Time;OD540
A1;plant_miRNA;MIX17AA;1;2;0;0.274199992
A2;scrambled_miRNA;MIX17AA;1;2;0;0.477200001
A3;control;MIX17AA;1;2;0;0.446700007
A4;plant_miRNA;MIX17AA;2;2;0;0.484299988
A5;scrambled_miRNA;MIX17AA;2;2;0;0.534300029
A6;control;MIX17AA;2;2;0;0.448100001
A7;plant_miRNA;MIX17AA;3;2;0;0.486000001
A8;scrambled_miRNA;MIX17AA;3;2;0;0.50849998
B1;control;MIX17AA;3;2;0;0.493999988
B2;plant_miRNA;MIX17AA;4;2;0;0.513800025
B3;scrambled_miRNA;MIX17AA;4;2;0;0.503799975
B4;control;MIX17AA;4;2;0;0.524399996
B5;plant_miRNA;MIX17AA;5;2;0;0.53549999
B6;scrambled_miRNA;MIX17AA;5;2;0;0.515699983
B7;control;MIX17AA;5;2;0;0.507600009
C1;plant_miRNA;MIX17AA;1;2;1;0.308999985
C2;scrambled_miRNA;MIX17AA;1;2;1;0.505999982
C3;control;MIX17AA;1;2;1;0.466399997
C4;plant_miRNA;MIX17AA;2;2;1;0.480100006
C5;scrambled_miRNA;MIX17AA;2;2;1;0.503499985
C6;control;MIX17AA;2;2;1;0.488299996
C7;plant_miRNA;MIX17AA;3;2;1;0.521300018
C8;scrambled_miRNA;MIX17AA;3;2;1;0.503000021
D1;control;MIX17AA;3;2;1;0.462199986
D2;plant_miRNA;MIX17AA;4;2;1;0.500100017
D3;scrambled_miRNA;MIX17AA;4;2;1;0.491899997
D4;control;MIX17AA;4;2;1;0.506500006
D5;plant_miRNA;MIX17AA;5;2;1;0.4903
D6;scrambled_miRNA;MIX17AA;5;2;1;0.500899971
D7;control;MIX17AA;5;2;1;0.419699997
G1;plant_miRNA;MIX17AA;1;2;4;0.351099998
G2;scrambled_miRNA;MIX17AA;1;2;4;0.350499988
G3;control;MIX17AA;1;2;4;0.411500007
G4;plant_miRNA;MIX17AA;2;2;4;0.352600008
G5;scrambled_miRNA;MIX17AA;2;2;4;0.381599993
G6;control;MIX17AA;2;2;4;0.434300005
G7;plant_miRNA;MIX17AA;3;2;4;0.341500014
G8;scrambled_miRNA;MIX17AA;3;2;4;0.379799992
H1;control;MIX17AA;3;2;4;0.384000003
H2;plant_miRNA;MIX17AA;4;2;4;0.353700012
H3;scrambled_miRNA;MIX17AA;4;2;4;0.385899991
H4;control;MIX17AA;4;2;4;0.437700003
H5;plant_miRNA;MIX17AA;5;2;4;0.429399997
H6;scrambled_miRNA;MIX17AA;5;2;4;0.405400008
H7;control;MIX17AA;5;2;4;0.460799992
A10;scrambled_miRNA;MIX17AA;3;2;12;0.245700002
B10;plant_miRNA;MIX17AA;3;2;12;0.236900002
C10;control;MIX17AA;2;2;12;0.459800005
D10;scrambled_miRNA;MIX17AA;2;2;12;0.218199998
E10;plant_miRNA;MIX17AA;2;2;12;0.241400003
F10;control;MIX17AA;1;2;12;0.465000004
G10;scrambled_miRNA;MIX17AA;1;2;12;0.249400005
H10;plant_miRNA;MIX17AA;1;2;12;0.249300003
A11;control;MIX17AA;5;2;12;0.474000007
B11;scrambled_miRNA;MIX17AA;5;2;12;0.262100011
C11;plant_miRNA;MIX17AA;5;2;12;0.257600009
D11;control;MIX17AA;4;2;12;0.440600008
E11;scrambled_miRNA;MIX17AA;4;2;12;0.258300006
F11;plant_miRNA;MIX17AA;4;2;12;0.256999999
G11;control;MIX17AA;3;2;12;0.36500001
