Well_ID	Treatment	N_Source	Pair	Dose (uM)	Time	OD540	OD550	OD560	OD570
A2	plant_miRNA	mix17_AA	1	2	0	0.44600001	0.514100015	0.602500021	0.685699999
A3	scrambled_miRNA	mix17_AA	1	2	0	0.410299987	0.474099994	0.555999994	0.630699992
A4	control	mix17_AA	1	0	0	0.394400001	0.45660001	0.533599973	0.607299984
A5	plant_miRNA	mix17_AA	2	2	0	0.418500006	0.484499991	0.566600025	0.644400001
A6	scrambled_miRNA	mix17_AA	2	2	0	0.370700002	0.427700013	0.501699984	0.571200013
A7	control	mix17_AA	2	0	0	0.435400009	0.501399994	0.586399972	0.665400028
A8	plant_miRNA	mix17_AA	3	2	0	0.376100004	0.435400009	0.510699987	0.581200004
A9	scrambled_miRNA	mix17_AA	3	2	0	0.391200006	0.453000009	0.530900002	0.605199993
A10	control	mix17_AA	3	0	0	0.305500001	0.352499992	0.412600011	0.469399989
B2	plant_miRNA	mix17_AA	4	2	0	0.411599994	0.475800008	0.557099998	0.633700013
B3	scrambled_miRNA	mix17_AA	4	2	0	0.363900006	0.41960001	0.490399987	0.557299972
B4	control	mix17_AA	4	0	0	0.40990001	0.474599987	0.555400014	0.631600022
B5	plant_miRNA	mix17_AA	5	2	0	0.393900007	0.456	0.533800006	0.607900023
B6	scrambled_miRNA	mix17_AA	5	2	0	0.433400005	0.500999987	0.583999991	0.664200008
B7	control	mix17_AA	5	0	0	0.386799991	0.44690001	0.523100019	0.595099986
C2	plant_miRNA	mix17_AA	1	2	1	0.389899999	0.452499986	0.531300008	0.60650003
C3	scrambled_miRNA	mix17_AA	1	2	1	0.361699998	0.417100012	0.489100009	0.557699978
C4	plant_miRNA	mix17_AA	2	2	1	0.377200007	0.437000006	0.512600005	0.584500015
C5	scrambled_miRNA	mix17_AA	2	2	1	0.385800004	0.44690001	0.524200022	0.598200023
C6	plant_miRNA	mix17_AA	3	2	1	0.391099989	0.454899997	0.533599973	0.609399974
C7	scrambled_miRNA	mix17_AA	3	2	1	0.440600008	0.510800004	0.600399971	0.685000002
C8	plant_miRNA	mix17_AA	4	2	1	0.385500014	0.447100013	0.52609998	0.600099981
C9	scrambled_miRNA	mix17_AA	4	2	1	0.391600013	0.453700006	0.532999992	0.606599987
C10	plant_miRNA	mix17_AA	5	2	1	0.411799997	0.476099998	0.558399975	0.636699975
C11	scrambled_miRNA	mix17_AA	5	2	1	0.409999996	0.47420001	0.556500018	0.633300006
D2	std	mix17_AA	N.A	500	N.A.	0.469500005	0.540799975	0.631600022	0.718100011
D3	std	mix17_AA	N.A	250	N.A.	0.460200012	0.533299983	0.626299977	0.714399993
D4	std	mix17_AA	N.A	125	N.A.	0.287699997	0.333499998	0.390100002	0.442600012
D5	std	mix17_AA	N.A	62.5	N.A.	0.197600007	0.228200004	0.265100002	0.298799992
D6	std	mix17_AA	N.A	0	N.A.	0.112800002	0.126699999	0.143000007	0.157700002
E2	plant_miRNA	mix17_AA	1	2	4	0.362699986	0.417899996	0.487899989	0.55400002
E3	scrambled_miRNA	mix17_AA	1	2	4	0.333299994	0.382699996	0.4463	0.504700005
E4	plant_miRNA	mix17_AA	2	2	4	0.351200014	0.404500008	0.472900003	0.53549999
E5	scrambled_miRNA	mix17_AA	2	2	4	0.368000001	0.424299985	0.494300008	0.560599983
E6	plant_miRNA	mix17_AA	3	2	4	0.320600003	0.371100008	0.435000002	0.494300008
E7	scrambled_miRNA	mix17_AA	3	2	4	0.601300001	0.649600029	0.708199978	0.760599971
E8	plant_miRNA	mix17_AA	4	2	4	0.374199986	0.432700008	0.504199982	0.572099984
E9	scrambled_miRNA	mix17_AA	4	2	4	0.329299986	0.380499989	0.4454	0.506200016
E10	plant_miRNA	mix17_AA	5	2	4	0.351200014	0.405200005	0.47420001	0.538900018
E11	scrambled_miRNA	mix17_AA	5	2	4	0.353899986	0.408600003	0.478500009	0.54339999
F2	plant_miRNA	mix17_AA	1	2	12	0.283499986	0.326400012	0.380100012	0.430700004
F3	scrambled_miRNA	mix17_AA	1	2	12	0.261099994	0.299400002	0.348500013	0.393400013
F4	control	mix17_AA	1	0	12	0.41170001	0.476599991	0.559199989	0.635800004
F5	plant_miRNA	mix17_AA	2	2	12	0.261599988	0.301499993	0.349000007	0.39379999
F6	scrambled_miRNA	mix17_AA	2	2	12	0.248500004	0.285100013	0.330500007	0.372700006
F7	control	mix17_AA	2	0	12	0.169699997	0.190699995	0.218199998	0.243300006
F8	plant_miRNA	mix17_AA	3	2	12	0.279799998	0.321799994	0.372999996	0.419999987
F9	scrambled_miRNA	mix17_AA	3	2	12	0.285400003	0.328500003	0.382999986	0.432399988
F10	control	mix17_AA	3	0	12	0.408199996	0.471100003	0.550800025	0.62620002
G2	plant_miRNA	mix17_AA	4	2	12	0.246800005	0.284299999	0.331400007	0.375800014
G3	scrambled_miRNA	mix17_AA	4	2	12	0.263300002	0.3028	0.353300005	0.400400013
G4	control	mix17_AA	4	0	12	0.409200013	0.47389999	0.556699991	0.63499999
G5	plant_miRNA	mix17_AA	5	2	12	0.254999995	0.294400007	0.343800008	0.389800012
G6	scrambled_miRNA	mix17_AA	5	2	12	0.246099994	0.283600003	0.331900001	0.37650001
G7	control	mix17_AA	5	0	12	0.453099996	0.530300021	0.617200017	0.703000009
