Well_ID	Pair	miRNA	Treatment	Time	OD600
C6	C	ath-miR827	Plant	0	0.125
D1	C	ath-miR5642b	Scramble	0	0.123
D2	C	ath-miR5642b	Plant	0	0.126
D4	C	ath-miR158b	Scramble	0	0.14
D5	C	ath-miR158b	Plant	0	0.125
A2	C	ath-miR158a3p	Plant	3	0.282
A3	C	ath-miR158a3p	Scramble	3	0.274
A5	C	Ctl-2	NA	3	0.084
B2	C	ath-miR159	Scramble	3	0.259
B3	C	ath-miR159	Plant	3	0.258
C1	C	Ctl-1	NA	3	0.09
C2	C	Mix5	Plant	3	0.25
C3	C	Mix5	Scramble	3	0.242
C5	C	ath-miR827	Scramble	3	0.255
C6	C	ath-miR827	Plant	3	0.266
D1	C	ath-miR5642b	Scramble	3	0.27
D2	C	ath-miR5642b	Plant	3	0.248
D4	C	ath-miR158b	Scramble	3	0.258
D5	C	ath-miR158b	Plant	3	0.255
A2	C	ath-miR158a3p	Plant	6	0.295
A3	C	ath-miR158a3p	Scramble	6	0.294
A5	C	Ctl-2	NA	6	0.069
B2	C	ath-miR159	Scramble	6	0.277
B3	C	ath-miR159	Plant	6	0.373
C1	C	Ctl-1	NA	6	0.073
C2	C	Mix5	Plant	6	0.382
C3	C	Mix5	Scramble	6	0.36
C5	C	ath-miR827	Scramble	6	0.42
C6	C	ath-miR827	Plant	6	0.488
D1	C	ath-miR5642b	Scramble	6	0.28
D2	C	ath-miR5642b	Plant	6	0.381
D4	C	ath-miR158b	Scramble	6	0.362
D5	C	ath-miR158b	Plant	6	0.4
A2	C	ath-miR158a3p	Plant	24	0.388
A3	C	ath-miR158a3p	Scramble	24	0.371
A5	C	Ctl-2	NA	24	0.068
B2	C	ath-miR159	Scramble	24	0.283
B3	C	ath-miR159	Plant	24	0.295
C1	C	Ctl-1	NA	24	0.074
C2	C	Mix5	Plant	24	0.31
C3	C	Mix5	Scramble	24	0.301
C5	C	ath-miR827	Scramble	24	0.322
C6	C	ath-miR827	Plant	24	0.322
D1	C	ath-miR5642b	Scramble	24	0.326
D2	C	ath-miR5642b	Plant	24	0.314
D4	C	ath-miR158b	Scramble	24	0.318
D5	C	ath-miR158b	Plant	24	0.316
A2	D	ath-miR159	Plant	0	0.125
A3	D	ath-miR159	Scramble	0	0.128
B1	D	Mix5	Scramble	0	0.135
B2	D	Mix5	Plant	0	0.126
B3	D	Ctl-1	NA	0	0.087
B4	D	ath-miR158b	Plant	0	0.129
B5	D	ath-miR158b	Scramble	0	0.13
B6	D	Ctl-2	NA	0	0.084
C2	D	ath-miR158a3p	Scramble	0	0.124
C3	D	ath-miR158a3p	Plant	0	0.125
C5	D	ath-miR5642b	Scramble	0	0.124
C6	D	ath-miR5642b	Plant	0	0.126
D3	D	ath-miR827	Scramble	0	0.13
D4	D	ath-miR827	Plant	0	0.123
A2	D	ath-miR159	Plant	3	0.263
A3	D	ath-miR159	Scramble	3	0.267
B1	D	Mix5	Scramble	3	0.269
