Well_ID	Plate	Pair	miRNA	Treatment	N_Source	Time	OD540
C2	2	A	ath-miR158b	Scramble	Mix_AA	3	0.231000006
C3	2	A	ath-miR158a3p	Plant	Mix_AA	3	0.229399994
C4	2	A	ath-miR158a3p	Scramble	Mix_AA	3	0.252000004
C5	2	A	ath-miR159	Plant	Mix_AA	3	0.259600013
C6	2	A	ath-miR159	Scramble	Mix_AA	3	0.255899996
C7	2	A	Ctl-1	NA	Mix_AA	3	0.251300007
D1	2	A	Mix5	Plant	Mix_AA	3	0.225899994
D2	2	A	Mix5	Scramble	Mix_AA	3	0.228100002
D3	2	A	ath-miR827	Plant	Mix_AA	3	0.249599993
D4	2	A	ath-miR827	Scramble	Mix_AA	3	0.283199996
D5	2	A	ath-miR5642b	Plant	Mix_AA	3	0.244200006
D6	2	A	ath-miR5642b	Scramble	Mix_AA	3	0.235699996
D7	2	A	Ctl-2	NA	Mix_AA	3	0.249699995
E1	2	A	ath-miR158b	Plant	Mix_AA	6	0.228
E2	2	A	ath-miR158b	Scramble	Mix_AA	6	0.230800003
E3	2	A	ath-miR158a3p	Plant	Mix_AA	6	0.233700007
E4	2	A	ath-miR158a3p	Scramble	Mix_AA	6	0.225700006
E5	2	A	ath-miR159	Plant	Mix_AA	6	0.225400001
E6	2	A	ath-miR159	Scramble	Mix_AA	6	0.211400002
E7	2	A	Ctl-1	NA	Mix_AA	6	0.255499989
F1	2	A	Mix5	Plant	Mix_AA	6	0.213100001
F2	2	A	Mix5	Scramble	Mix_AA	6	0.216199994
F3	2	A	ath-miR827	Plant	Mix_AA	6	0.228400007
F4	2	A	ath-miR827	Scramble	Mix_AA	6	0.218500003
F5	2	A	ath-miR5642b	Plant	Mix_AA	6	0.216800004
F6	2	A	ath-miR5642b	Scramble	Mix_AA	6	0.221599996
F7	2	A	Ctl-2	NA	Mix_AA	6	0.239600003
G1	2	A	ath-miR158b	Plant	Mix_AA	24	0.376599997
G2	2	A	ath-miR158b	Scramble	Mix_AA	24	0.203700006
G3	2	A	ath-miR158a3p	Plant	Mix_AA	24	0.188199997
G4	2	A	ath-miR158a3p	Scramble	Mix_AA	24	0.185299993
G5	2	A	ath-miR159	Plant	Mix_AA	24	0.189400002
G6	2	A	ath-miR159	Scramble	Mix_AA	24	0.187999994
G7	2	A	Ctl-1	NA	Mix_AA	24	0.292199999
H1	2	A	Mix5	Plant	Mix_AA	24	0.188800007
H2	2	A	Mix5	Scramble	Mix_AA	24	0.179199994
H3	2	A	ath-miR827	Plant	Mix_AA	24	0.192000002
H4	2	A	ath-miR827	Scramble	Mix_AA	24	0.185100004
H5	2	A	ath-miR5642b	Plant	Mix_AA	24	0.180899993
H6	2	A	ath-miR5642b	Scramble	Mix_AA	24	0.179000005
H7	2	A	Ctl-2	NA	Mix_AA	24	0.303299993
A8	2	A	NA	std	500	NA	0.389800012
B8	2	A	NA	std	250	NA	0.256700009
C8	2	A	NA	std	125	NA	0.183300003
D8	2	A	NA	std	62.5	NA	0.142900005
E8	2	A	NA	std	31.3	NA	0.136099994
F8	2	A	NA	std	15.6	NA	0.119999997
G8	2	A	NA	std	0	NA	0.118299998
A9	2	A	NA	std	0	NA	0.141599998
B9	2	A	NA	std	15.6	NA	0.149399996
C9	2	A	NA	std	31.3	NA	0.160899997
D9	2	A	NA	std	62.5	NA	0.178100005
E9	2	A	NA	std	125	NA	0.226099998
F9	2	A	NA	std	250	NA	0.27610001
G9	2	A	NA	std	500	NA	0.404500008
A1	1	B	ath-miR158b	Plant	Mix_AA	0	0.239099994
A2	1	B	ath-miR158b	Scramble	Mix_AA	0	0.221699998
A3	1	B	ath-miR158a3p	Plant	Mix_AA	0	0.231399998
A4	1	B	ath-miR158a3p	Scramble	Mix_AA	0	0.247700006
A5	1	B	ath-miR159	Plant	Mix_AA	0	0.232800007
A6	1	B	ath-miR159	Scramble	Mix_AA	0	0.246600002
A7	1	B	Ctl-1	NA	Mix_AA	0	0.247899994
B1	1	B	Mix5	Plant	Mix_AA	0	0.206100002
B2	1	B	Mix5	Scramble	Mix_AA	0	0.206300005
B3	1	B	ath-miR827	Plant	Mix_AA	0	0.216700003
B4	1	B	ath-miR827	Scramble	Mix_AA	0	0.226099998
B5	1	B	ath-miR5642b	Plant	Mix_AA	0	0.221799999
B6	1	B	ath-miR5642b	Scramble	Mix_AA	0	0.225099996
B7	1	B	Ctl-2	NA	Mix_AA	0	0.237599999
C1	1	B	ath-miR158b	Plant	Mix_AA	3	0.225899994
C2	1	B	ath-miR158b	Scramble	Mix_AA	3	0.214200005
C3	1	B	ath-miR158a3p	Plant	Mix_AA	3	0.211500004
C4	1	B	ath-miR158a3p	Scramble	Mix_AA	3	0.225700006
C5	1	B	ath-miR159	Plant	Mix_AA	3	0.223299995
C6	1	B	ath-miR159	Scramble	Mix_AA	3	0.229699999
C7	1	B	Ctl-1	NA	Mix_AA	3	0.247500002
D1	1	B	Mix5	Plant	Mix_AA	3	0.213400006
D2	1	B	Mix5	Scramble	Mix_AA	3	0.223900005
D3	1	B	ath-miR827	Plant	Mix_AA	3	0.218999997
D4	1	B	ath-miR827	Scramble	Mix_AA	3	0.233199999
D5	1	B	ath-miR5642b	Plant	Mix_AA	3	0.2368
D6	1	B	ath-miR5642b	Scramble	Mix_AA	3	0.228200004
D7	1	B	Ctl-2	NA	Mix_AA	3	0.250200003
E1	1	B	ath-miR158b	Plant	Mix_AA	6	0.214399993
E2	1	B	ath-miR158b	Scramble	Mix_AA	6	0.196899995
E3	1	B	ath-miR158a3p	Plant	Mix_AA	6	0.202800006
E4	1	B	ath-miR158a3p	Scramble	Mix_AA	6	0.204500005
E5	1	B	ath-miR159	Plant	Mix_AA	6	0.193200007
E6	1	B	ath-miR159	Scramble	Mix_AA	6	0.207900003
E7	1	B	Ctl-1	NA	Mix_AA	6	0.242300004
F1	1	B	Mix5	Plant	Mix_AA	6	0.183300003
F2	1	B	Mix5	Scramble	Mix_AA	6	0.183799997
F3	1	B	ath-miR827	Plant	Mix_AA	6	0.194100007
F4	1	B	ath-miR827	Scramble	Mix_AA	6	0.195299998
F5	1	B	ath-miR5642b	Plant	Mix_AA	6	0.195999995
F6	1	B	ath-miR5642b	Scramble	Mix_AA	6	0.208000004
F7	1	B	Ctl-2	NA	Mix_AA	6	0.221699998
G1	1	B	ath-miR158b	Plant	Mix_AA	24	0.185299993
G2	1	B	ath-miR158b	Scramble	Mix_AA	24	0.165299997
G3	1	B	ath-miR158a3p	Plant	Mix_AA	24	0.167799994
G4	1	B	ath-miR158a3p	Scramble	Mix_AA	24	0.173099995
G5	1	B	ath-miR159	Plant	Mix_AA	24	0.182400003
G6	1	B	ath-miR159	Scramble	Mix_AA	24	0.175300002
G7	1	B	Ctl-1	NA	Mix_AA	24	0.256500006
H1	1	B	Mix5	Plant	Mix_AA	24	0.172299996
H2	1	B	Mix5	Scramble	Mix_AA	24	0.157900006
H3	1	B	ath-miR827	Plant	Mix_AA	24	0.186100006
H4	1	B	ath-miR827	Scramble	Mix_AA	24	0.173299998
H5	1	B	ath-miR5642b	Plant	Mix_AA	24	0.179900005
H6	1	B	ath-miR5642b	Scramble	Mix_AA	24	0.189999998
H7	1	B	Ctl-2	NA	Mix_AA	24	0.245700002
A8	1	B	NA	std	500	NA	0.474400014
B8	1	B	NA	std	250	NA	0.30219999
C8	1	B	NA	std	125	NA	0.204600006
D8	1	B	NA	std	62.5	NA	0.151600003
E8	1	B	NA	std	31.3	NA	0.138799995
F8	1	B	NA	std	15.6	NA	0.116899997
G8	1	B	NA	std	0	NA	0.120099999
A9	1	B	NA	std	0	NA	0.130600005
B9	1	B	NA	std	15.6	NA	0.125100002
C9	1	B	NA	std	31.3	NA	0.136199996
D9	1	B	NA	std	62.5	NA	0.164000005
E9	1	B	NA	std	125	NA	0.222900003
F9	1	B	NA	std	250	NA	0.306600004
G9	1	B	NA	std	500	NA	0.456699997
A1	2	B	ath-miR158b	Plant	Mix_AA	0	0.239700004
A2	2	B	ath-miR158b	Scramble	Mix_AA	0	0.2359
A3	2	B	ath-miR158a3p	Plant	Mix_AA	0	0.247899994
A4	2	B	ath-miR158a3p	Scramble	Mix_AA	0	0.260399997
A5	2	B	ath-miR159	Plant	Mix_AA	0	0.239800006
A6	2	B	ath-miR159	Scramble	Mix_AA	0	0.250499994
A7	2	B	Ctl-1	NA	Mix_AA	0	0.237900004
B1	2	B	Mix5	Plant	Mix_AA	0	0.215399995
B2	2	B	Mix5	Scramble	Mix_AA	0	0.220599994
B3	2	B	ath-miR827	Plant	Mix_AA	0	0.232500002
B4	2	B	ath-miR827	Scramble	Mix_AA	0	0.232999995
B5	2	B	ath-miR5642b	Plant	Mix_AA	0	0.219300002
B6	2	B	ath-miR5642b	Scramble	Mix_AA	0	0.244499996
B7	2	B	Ctl-2	NA	Mix_AA	0	0.235100001
C1	2	B	ath-miR158b	Plant	Mix_AA	3	0.224999994
C2	2	B	ath-miR158b	Scramble	Mix_AA	3	0.219300002
C3	2	B	ath-miR158a3p	Plant	Mix_AA	3	0.215700001
C4	2	B	ath-miR158a3p	Scramble	Mix_AA	3	0.229900002
C5	2	B	ath-miR159	Plant	Mix_AA	3	0.225199997
C6	2	B	ath-miR159	Scramble	Mix_AA	3	0.217099994
C7	2	B	Ctl-1	NA	Mix_AA	3	0.258399993
D1	2	B	Mix5	Plant	Mix_AA	3	0.229499996
D2	2	B	Mix5	Scramble	Mix_AA	3	0.225799993
D3	2	B	ath-miR827	Plant	Mix_AA	3	0.237900004
D4	2	B	ath-miR827	Scramble	Mix_AA	3	0.235100001
D5	2	B	ath-miR5642b	Plant	Mix_AA	3	0.231900007
D6	2	B	ath-miR5642b	Scramble	Mix_AA	3	0.230000004
D7	2	B	Ctl-2	NA	Mix_AA	3	0.243599996
E1	2	B	ath-miR158b	Plant	Mix_AA	6	0.224800006
E2	2	B	ath-miR158b	Scramble	Mix_AA	6	0.215200007
E3	2	B	ath-miR158a3p	Plant	Mix_AA	6	0.207599998
E4	2	B	ath-miR158a3p	Scramble	Mix_AA	6	0.217500001
E5	2	B	ath-miR159	Plant	Mix_AA	6	0.206699997
E6	2	B	ath-miR159	Scramble	Mix_AA	6	0.212500006
E7	2	B	Ctl-1	NA	Mix_AA	6	0.244200006
F1	2	B	Mix5	Plant	Mix_AA	6	0.199399993
F2	2	B	Mix5	Scramble	Mix_AA	6	0.197799996
F3	2	B	ath-miR827	Plant	Mix_AA	6	0.206599995
F4	2	B	ath-miR827	Scramble	Mix_AA	6	0.202000007
F5	2	B	ath-miR5642b	Plant	Mix_AA	6	0.205899999
F6	2	B	ath-miR5642b	Scramble	Mix_AA	6	0.200900003
F7	2	B	Ctl-2	NA	Mix_AA	6	0.227599993
G1	2	B	ath-miR158b	Plant	Mix_AA	24	0.188800007
G2	2	B	ath-miR158b	Scramble	Mix_AA	24	0.173500001
G3	2	B	ath-miR158a3p	Plant	Mix_AA	24	0.1734
