Well_ID,ASV,N_souce,miRNA,Replicate ,Dose(uM),Time,OD_600
B3,172,Mix_17aa,p159,n3,2,0,0.131899998
B4,172,Mix_17aa,sc159,n3,2,0,0.133399993
B5,172,Mix_17aa,sc5642b,n3,2,0,0.131899998
B6,172,Mix_17aa,p5642b,n3,2,0,0.130700007
B7,4,Lysine,p827,n3,2,0,0.146300003
B8,4,Lysine,sc827,n3,2,0,0.145300001
B9,4,Lysine,p_mix,n3,10,0,0.144099995
B10,4,Lysine,sc_mix,n3,10,0,0.148100004
B11,Control,Lysine,Control,n3,Control,0,0.083300002
C2,Control,Mix_17aa,Control,n3,Control,0,0.076700002
C3,172,Mix_17aa,sc_mix,n3,10,0,0.123199999
C4,172,Mix_17aa,p_mix,n3,10,0,0.126599997
C5,172,Mix_17aa,p158a,n3,2,0,0.128000006
C6,172,Mix_17aa,sc158a,n3,2,0,0.128099993
C7,4,Lysine,sc158a,n3,2,0,0.142199993
C8,4,Lysine,p158a,n3,2,0,0.137099996
C9,4,Lysine,p5642b,n3,2,0,0.139699996
C10,4,Lysine,sc5642b,n3,2,0,0.139599994
D2,Control,Mix_17aa,Control,n3,Control,0,0.073899999
D3,172,Mix_17aa,sc158b,n3,2,0,0.118500002
D4,172,Mix_17aa,p158b,n3,2,0,0.117399998
D5,172,Mix_17aa,p827,n3,2,0,0.1259
D6,172,Mix_17aa,sc827,n3,2,0,0.128299996
D7,4,Lysine,sc159,n3,2,0,0.140900001
D8,4,Lysine,p159,n3,2,0,0.1435
D9,4,Lysine,sc158b,n3,2,0,0.142000005
D10,4,Lysine,p158b,n3,2,0,0.146200001
D11,Control,Lysine,Control,n3,Control,0,0.085900001
E2,Control,Phenyalanine,Control,n3,Control,0,0.090000004
E3,6,Phenyalanine,sc5642b,n3,2,0,0.139300004
E4,6,Phenyalanine,p5642b,n3,2,0,0.136500001
E5,6,Phenyalanine,sc158b,n3,2,0,0.140100002
E6,6,Phenyalanine,p158b,n3,2,0,0.142199993
E7,6,Mix_17aa,sc158b,n3,2,0,0.154799998
