Well_ID,ASV,N_souce,miRNA,Replicate ,Dose(uM),Time,OD_600
B2,Control,Phenyalanine,Control,n4,Control,0,0.081
B3,6,Phenyalanine,sc827,n4,2,0,0.186100006
B4,6,Phenyalanine,p827,n4,2,0,0.184400007
B5,6,Phenyalanine,p159,n4,2,0,0.1831
B6,6,Phenyalanine,sc159,n4,2,0,0.178599998
B7,6,Mix_17aa,sc158a,n4,2,0,0.140499994
B8,6,Mix_17aa,p158a,n4,2,0,0.142299995
B9,6,Mix_17aa,sc_mix,n4,10,0,0.144899994
B10,6,Mix_17aa,p_mix,n4,10,0,0.144099995
B11,Control,Mix_17aa,Control,n4,Control,0,0.0836
C3,6,Phenyalanine,sc158a,n4,2,0,0.172499999
C4,6,Phenyalanine,p158a,n4,2,0,0.174899995
C5,6,Phenyalanine,p_mix,n4,10,0,0.1699
C6,6,Phenyalanine,sc_mix,n4,10,0,0.165000007
C7,6,Mix_17aa,sc5642b,n4,2,0,0.131799996
C8,6,Mix_17aa,p5642b,n4,2,0,0.1347
C9,6,Mix_17aa,p158b,n4,2,0,0.135199994
C10,6,Mix_17aa,sc158b,n4,2,0,0.136999995
C11,Control,Mix_17aa,Control,n4,Control,0,0.0933
D2,Control,Phenyalanine,Control,n4,Control,0,0.079499997
D3,6,Phenyalanine,p5642b,n4,2,0,0.170699999
D4,6,Phenyalanine,sc5642b,n4,2,0,0.163399994
D5,6,Phenyalanine,p158b,n4,2,0,0.1699
D6,6,Phenyalanine,sc158b,n4,2,0,0.164100006
D7,6,Mix_17aa,p159,n4,2,0,0.136099994
D8,6,Mix_17aa,sc159,n4,2,0,0.1347
D9,6,Mix_17aa,sc827,n4,2,0,0.131699994
D10,6,Mix_17aa,p827,n4,2,0,0.134800002
E2,Control,Mix_17aa,Control,n5,Control,0,0.086300001
E3,172,Mix_17aa,sc158b,n5,2,0,0.154899999
E4,172,Mix_17aa,p158b,n5,2,0,0.158999994
E5,172,Mix_17aa,sc827,n5,2,0,0.149599999
E6,172,Mix_17aa,p827,n5,2,0,0.155599996
F2,Control,Mix_17aa,Control,n5,Control,0,0.078500003
F3,172,Mix_17aa,sc_mix,n5,10,0,0.1435
F4,172,Mix_17aa,p_mix,n5,10,0,0.143600002
F5,172,Mix_17aa,p5642b,n5,2,0,0.145300001
F6,172,Mix_17aa,sc5642b,n5,2,0,0.144199997
G3,172,Mix_17aa,p158a,n5,2,0,0.140599996
G4,172,Mix_17aa,sc158a,n5,2,0,0.1391
G5,172,Mix_17aa,sc159,n5,2,0,0.139699996
G6,172,Mix_17aa,p159,n5,2,0,0.140000001
B2,Control,Phenyalanine,Control,n4,Control,1,0.080399998
B3,6,Phenyalanine,sc827,n4,2,1,0.238000005
B4,6,Phenyalanine,p827,n4,2,1,0.248400003
B5,6,Phenyalanine,p159,n4,2,1,0.239700004
B6,6,Phenyalanine,sc159,n4,2,1,0.237000003
B7,6,Mix_17aa,sc158a,n4,2,1,0.238299996
B8,6,Mix_17aa,p158a,n4,2,1,0.256399989
B9,6,Mix_17aa,sc_mix,n4,10,1,0.211999997
B10,6,Mix_17aa,p_mix,n4,10,1,0.214300007
B11,Control,Mix_17aa,Control,n4,Control,1,0.077100001
C3,6,Phenyalanine,sc158a,n4,2,1,0.229000002
C4,6,Phenyalanine,p158a,n4,2,1,0.241099998
C5,6,Phenyalanine,p_mix,n4,10,1,0.239999995
C6,6,Phenyalanine,sc_mix,n4,10,1,0.232700005
C7,6,Mix_17aa,sc5642b,n4,2,1,0.2095
C8,6,Mix_17aa,p5642b,n4,2,1,0.210800007
C9,6,Mix_17aa,p158b,n4,2,1,0.231700003
C10,6,Mix_17aa,sc158b,n4,2,1,0.218899995
C11,Control,Mix_17aa,Control,n4,Control,1,0.079700001
D2,Control,Phenyalanine,Control,n4,Control,1,0.074299999
D3,6,Phenyalanine,p5642b,n4,2,1,0.228400007
D4,6,Phenyalanine,sc5642b,n4,2,1,0.226199999
D5,6,Phenyalanine,p158b,n4,2,1,0.238900006
D6,6,Phenyalanine,sc158b,n4,2,1,0.228499994
D7,6,Mix_17aa,p159,n4,2,1,0.219400004
D8,6,Mix_17aa,sc159,n4,2,1,0.216600001
D9,6,Mix_17aa,sc827,n4,2,1,0.214000002
D10,6,Mix_17aa,p827,n4,2,1,0.234999999
E2,Control,Mix_17aa,Control,n5,Control,1,0.080600001
E3,172,Mix_17aa,sc158b,n5,2,1,0.158299997
E4,172,Mix_17aa,p158b,n5,2,1,0.157900006
E5,172,Mix_17aa,sc827,n5,2,1,0.146200001
E6,172,Mix_17aa,p827,n5,2,1,0.152199998
F2,Control,Mix_17aa,Control,n5,Control,1,0.067900002
F3,172,Mix_17aa,sc_mix,n5,10,1,0.145099998
F4,172,Mix_17aa,p_mix,n5,10,1,0.143900007
F5,172,Mix_17aa,p5642b,n5,2,1,0.142499998
F6,172,Mix_17aa,sc5642b,n5,2,1,0.146699995
G3,172,Mix_17aa,p158a,n5,2,1,0.144099995
G4,172,Mix_17aa,sc158a,n5,2,1,0.137999997
G5,172,Mix_17aa,sc159,n5,2,1,0.140900001
G6,172,Mix_17aa,p159,n5,2,1,0.137999997
B2,Control,Phenyalanine,Control,n4,Control,2,0.071800001
B3,6,Phenyalanine,sc827,n4,2,2,0.245900005
B4,6,Phenyalanine,p827,n4,2,2,0.256599993
B5,6,Phenyalanine,p159,n4,2,2,0.252000004
B6,6,Phenyalanine,sc159,n4,2,2,0.239700004
B7,6,Mix_17aa,sc158a,n4,2,2,0.421000004
B8,6,Mix_17aa,p158a,n4,2,2,0.435400009
B9,6,Mix_17aa,sc_mix,n4,10,2,0.393900007
B10,6,Mix_17aa,p_mix,n4,10,2,0.392100006
B11,Control,Mix_17aa,Control,n4,Control,2,0.081500001
C3,6,Phenyalanine,sc158a,n4,2,2,0.240799993
C4,6,Phenyalanine,p158a,n4,2,2,0.249400005
C5,6,Phenyalanine,p_mix,n4,10,2,0.265300006
C6,6,Phenyalanine,sc_mix,n4,10,2,0.252200007
C7,6,Mix_17aa,sc5642b,n4,2,2,0.368299991
C8,6,Mix_17aa,p5642b,n4,2,2,0.379299998
C9,6,Mix_17aa,p158b,n4,2,2,0.394600004
C10,6,Mix_17aa,sc158b,n4,2,2,0.382200003
C11,Control,Mix_17aa,Control,n4,Control,2,0.088
D2,Control,Phenyalanine,Control,n4,Control,2,0.074100003
D3,6,Phenyalanine,p5642b,n4,2,2,0.244399995
D4,6,Phenyalanine,sc5642b,n4,2,2,0.240600005
D5,6,Phenyalanine,p158b,n4,2,2,0.252400011
D6,6,Phenyalanine,sc158b,n4,2,2,0.240899995
D7,6,Mix_17aa,p159,n4,2,2,0.386400014
D8,6,Mix_17aa,sc159,n4,2,2,0.382699996
D9,6,Mix_17aa,sc827,n4,2,2,0.375
D10,6,Mix_17aa,p827,n4,2,2,0.412600011
E2,Control,Mix_17aa,Control,n5,Control,2,0.084399998
E3,172,Mix_17aa,sc158b,n5,2,2,0.170900002
E4,172,Mix_17aa,p158b,n5,2,2,0.174199998
E5,172,Mix_17aa,sc827,n5,2,2,0.172999993
E6,172,Mix_17aa,p827,n5,2,2,0.172399998
F2,Control,Mix_17aa,Control,n5,Control,2,0.073799998
F3,172,Mix_17aa,sc_mix,n5,10,2,0.167099997
F4,172,Mix_17aa,p_mix,n5,10,2,0.162900001
F5,172,Mix_17aa,p5642b,n5,2,2,0.164100006
F6,172,Mix_17aa,sc5642b,n5,2,2,0.163100004
G3,172,Mix_17aa,p158a,n5,2,2,0.152400002
G4,172,Mix_17aa,sc158a,n5,2,2,0.155300006
G5,172,Mix_17aa,sc159,n5,2,2,0.157700002
G6,172,Mix_17aa,p159,n5,2,2,0.158899993
B2,Control,Phenyalanine,Control,n4,Control,3,0.081500001
B3,6,Phenyalanine,sc827,n4,2,3,0.244599998
B4,6,Phenyalanine,p827,n4,2,3,0.259299994
B5,6,Phenyalanine,p159,n4,2,3,0.256999999
B6,6,Phenyalanine,sc159,n4,2,3,0.239700004
B7,6,Mix_17aa,sc158a,n4,2,3,0.478700012
B8,6,Mix_17aa,p158a,n4,2,3,0.490799993
B9,6,Mix_17aa,sc_mix,n4,10,3,0.478599995
B10,6,Mix_17aa,p_mix,n4,10,3,0.479400009
B11,Control,Mix_17aa,Control,n4,Control,3,0.077100001
C3,6,Phenyalanine,sc158a,n4,2,3,0.241300002
C4,6,Phenyalanine,p158a,n4,2,3,0.251100004
C5,6,Phenyalanine,p_mix,n4,10,3,0.269499987
