Well_ID,ASV,N_souce,miRNA,Replicate ,Dose(uM),Time,OD_600
B2,Control,Phenyalanine,Control,n5,Control,0,0.0854
B3,6,Phenyalanine,sc158b,n5,2,0,0.134499997
B4,6,Phenyalanine,p158b,n5,2,0,0.135600001
B5,6,Phenyalanine,sc5642b,n5,2,0,0.134100005
B6,6,Phenyalanine,p5642b,n5 ,2,0,0.135299996
B7,4,Lysine,p827,n2,2,0,0.144199997
B8,4,Lysine,sc827,n2,2,0,0.145699993
B9,4,Lysine,sc159,n2,2,0,0.147
B10,4,Lysine,p159,n2,2,0,0.144299999
B11,Control,Lysine,Control,n2,Control,0,0.0832
C2,Control,Phenyalanine,Control,n5,Control,0,0.081799999
C3,6,Phenyalanine,p827,n5,2,0,0.129199997
C4,6,Phenyalanine,sc827,n5,2,0,0.128299996
C5,6,Phenyalanine,p158a,n5,2,0,0.125799999
C6,6,Phenyalanine,sc158a,n5 ,2,0,0.128700003
C7,4,Lysine,sc158b,n2,2,0,0.141800001
C8,4,Lysine,p158b,n2,2,0,0.140599996
C9,4,Lysine,sc5642b,n2,2,0,0.140300006
C10,4,Lysine,p5642b,n2,2,0,0.136500001
C11,Control,Lysine,Control,n2,Control,0,0.085699998
D3,6,Phenyalanine,p_mix,n5,10,0,0.129700005
D4,6,Phenyalanine,sc_mix,n5,10,0,0.128800005
D5,6,Phenyalanine,sc159,n5,2,0,0.128000006
D6,6,Phenyalanine,p159,n5 ,2,0,0.128199995
D7,4,Lysine,p_mix,n2,10,0,0.1435
D8,4,Lysine,sc_mix,n2,10,0,0.143999994
D9,4,Lysine,sc158a,n2,2,0,0.1426
D10,4,Lysine,p158a,n2,2,0,0.140400007
E7,4,Lysine,sc5642b,n4,2,0,0.155699998
E8,4,Lysine,p5642b,n4,2,0,0.154499993
E9,4,Lysine,p827,n4,2,0,0.165700004
E10,4,Lysine,sc827,n4,2,0,0.1558
E11,4,Lysine,Control,n4,Control,0,0.105099998
F7,4,Lysine,p158b,n4,2,0,0.137199998
F8,4,Lysine,sc158b,n4,2,0,0.140599996
F9,4,Lysine,sc_mix,n4,10,0,0.141100004
F10,4,Lysine,p_mix,n4,10,0,0.138099998
G7,4,Lysine,p158a,n4,2,0,0.137999997
G8,4,Lysine,sc158a,n4,2,0,0.134499997
G9,4,Lysine,sc159,n4,2,0,0.135100007
G10,4,Lysine,p159,n4,2,0,0.132599995
G11,4,Lysine,Control,n4,Control,0,0.080600001
H3,4,Lysine,p158b,n1,2,0,0.129899994
H4,4,Lysine,sc158b,n1,2,0,0.131400004
H8,4,Lysine,sc_mix,n6,10,0,0.135499999
H9,4,Lysine,p_mix,n6,10,0,0.136000007
B2,Control,Phenyalanine,Control,n5,Control,1,0.077799998
B3,6,Phenyalanine,sc158b,n5,2,1,0.232899994
B4,6,Phenyalanine,p158b,n5,2,1,0.244800001
B5,6,Phenyalanine,sc5642b,n5,2,1,0.222900003
B6,6,Phenyalanine,p5642b,n5 ,2,1,0.239500001
B7,4,Lysine,p827,n2,2,1,0.143199995
B8,4,Lysine,sc827,n2,2,1,0.143800005
B9,4,Lysine,sc159,n2,2,1,0.153200001
B10,4,Lysine,p159,n2,2,1,0.136600003
B11,Control,Lysine,Control,n2,Control,1,0.078900002
C2,Control,Phenyalanine,Control,n5,Control,1,0.068800002
C3,6,Phenyalanine,p827,n5,2,1,0.252000004
C4,6,Phenyalanine,sc827,n5,2,1,0.241799995
C5,6,Phenyalanine,p158a,n5,2,1,0.233700007
C6,6,Phenyalanine,sc158a,n5 ,2,1,0.236100003
C7,4,Lysine,sc158b,n2,2,1,0.135800004
C8,4,Lysine,p158b,n2,2,1,0.135000005
C9,4,Lysine,sc5642b,n2,2,1,0.134000003
C10,4,Lysine,p5642b,n2,2,1,0.130500004
C11,Control,Lysine,Control,n2,Control,1,0.079300001
D3,6,Phenyalanine,p_mix,n5,10,1,0.253699988
D4,6,Phenyalanine,sc_mix,n5,10,1,0.238700002
D5,6,Phenyalanine,sc159,n5,2,1,0.240899995
D6,6,Phenyalanine,p159,n5 ,2,1,0.239899993
D7,4,Lysine,p_mix,n2,10,1,0.138300002
D8,4,Lysine,sc_mix,n2,10,1,0.143800005
D9,4,Lysine,sc158a,n2,2,1,0.145500004
D10,4,Lysine,p158a,n2,2,1,0.146500006
E7,4,Lysine,sc5642b,n4,2,1,0.159899995
E8,4,Lysine,p5642b,n4,2,1,0.157900006
E9,4,Lysine,p827,n4,2,1,0.165099993
E10,4,Lysine,sc827,n4,2,1,0.162300006
E11,4,Lysine,Control,n4,Control,1,0.100599997
F7,4,Lysine,p158b,n4,2,1,0.135700002
F8,4,Lysine,sc158b,n4,2,1,0.156800002
F9,4,Lysine,sc_mix,n4,10,1,0.143099993
F10,4,Lysine,p_mix,n4,10,1,0.143199995
G7,4,Lysine,p158a,n4,2,1,0.134299994
G8,4,Lysine,sc158a,n4,2,1,0.137099996
G9,4,Lysine,sc159,n4,2,1,0.134000003
G10,4,Lysine,p159,n4,2,1,0.126499996
G11,4,Lysine,Control,n4,Control,1,0.082400002
H3,4,Lysine,p158b,n1,2,1,0.127900004
H4,4,Lysine,sc158b,n1,2,1,0.131699994
H8,4,Lysine,sc_mix,n6,10,1,0.129299998
H9,4,Lysine,p_mix,n6,10,1,0.131600007
B2,Control,Phenyalanine,Control,n5,Control,2,0.072800003
B3,6,Phenyalanine,sc158b,n5,2,2,0.245499998
B4,6,Phenyalanine,p158b,n5,2,2,0.2597
B5,6,Phenyalanine,sc5642b,n5,2,2,0.238800004
B6,6,Phenyalanine,p5642b,n5 ,2,2,0.263300002
B7,4,Lysine,p827,n2,2,2,0.149100006
B8,4,Lysine,sc827,n2,2,2,0.147
B9,4,Lysine,sc159,n2,2,2,0.152700007
B10,4,Lysine,p159,n2,2,2,0.150600001
B11,Control,Lysine,Control,n2,Control,2,0.081200004
C2,Control,Phenyalanine,Control,n5,Control,2,0.075199999
C3,6,Phenyalanine,p827,n5,2,2,0.26879999
C4,6,Phenyalanine,sc827,n5,2,2,0.261500001
C5,6,Phenyalanine,p158a,n5,2,2,0.252299994
C6,6,Phenyalanine,sc158a,n5 ,2,2,0.256300002
C7,4,Lysine,sc158b,n2,2,2,0.141399994
C8,4,Lysine,p158b,n2,2,2,0.147599995
C9,4,Lysine,sc5642b,n2,2,2,0.144899994
C10,4,Lysine,p5642b,n2,2,2,0.141100004
C11,Control,Lysine,Control,n2,Control,2,0.071800001
D3,6,Phenyalanine,p_mix,n5,10,2,0.292800009
D4,6,Phenyalanine,sc_mix,n5,10,2,0.26910001
D5,6,Phenyalanine,sc159,n5,2,2,0.261000007
D6,6,Phenyalanine,p159,n5 ,2,2,0.255199999
D7,4,Lysine,p_mix,n2,10,2,0.144600004
D8,4,Lysine,sc_mix,n2,10,2,0.144700006
D9,4,Lysine,sc158a,n2,2,2,0.143299997
D10,4,Lysine,p158a,n2,2,2,0.142900005
E7,4,Lysine,sc5642b,n4,2,2,0.164800003
E8,4,Lysine,p5642b,n4,2,2,0.162799999
E9,4,Lysine,p827,n4,2,2,0.163000003
E10,4,Lysine,sc827,n4,2,2,0.155000001
E11,4,Lysine,Control,n4,Control,2,0.097099997
F7,4,Lysine,p158b,n4,2,2,0.142399997
F8,4,Lysine,sc158b,n4,2,2,0.158899993
