Well_ID,ASV,N_souce,miRNA,Replicate ,Dose(uM),Time,OD_600
B3,6,Mix_17aa,p827,n1,2,0,0.139400005
B4,6,Mix_17aa,sc827,n1,2,0,0.131699994
B5,6,Mix_17aa,sc5642b,n1,2,0,0.140499994
B6,6,Mix_17aa,p5642b,n1,2,0,0.136000007
C2,Control,Mix_17aa,Control,n1,Control,0,0.090000004
C3,6,Mix_17aa,sc158b,n1,2,0,0.131500006
C4,6,Mix_17aa,p159,n1,2,0,0.131799996
C5,6,Mix_17aa,sc158a,n1,2,0,0.128099993
C6,6,Mix_17aa,p158a,n1,2,0,0.144600004
D2,Control,Mix_17aa,Control,n1,Control,0,0.080499999
D3,6,Mix_17aa,sc159,n1,2,0,0.131500006
D4,6,Mix_17aa,p158b,n1,2,0,0.136099994
D5,6,Mix_17aa,p_mix,n1,10,0,0.132499993
D6,6,Mix_17aa,sc_mix,n1,10,0,0.130099997
E3,6,Phenyalanine,sc5642b,n1,2,0,0.142199993
E4,6,Phenyalanine,p5642b,n1,2,0,0.137700006
E5,6,Phenyalanine,sc158a,n1,2,0,0.141399994
E6,6,Phenyalanine,p158a,n1,2,0,0.141900003
E7,4,Lysine,sc_mix,n1,10,0,0.153099999
E8,4,Lysine,p_mix,n1,10,0,0.152999997
E9,4,Lysine,sc159,n1,2,0,0.162799999
E10,4,Lysine,p159,n1,2,0,0.151800007
F2,Control,Phenyalanine,Control,n1,Control,0,0.083800003
F3,6,Phenyalanine,sc159,n1,2,0,0.137099996
F4,6,Phenyalanine,p159,n1,2,0,0.146200001
F5,6,Phenyalanine,p_mix,n1,10,0,0.129999995
F6,6,Phenyalanine,sc_mix,n1,10,0,0.127000004
F7,4,Lysine,sc158a,n1,2,0,0.145099998
F8,4,Lysine,p158a,n1,2,0,0.150999993
F9,4,Lysine,p827,n1,2,0,0.149599999
F10,4,Lysine,sc827,n1,2,0,0.147699997
F11,Control,Lysine,Control,n1,Control,0,0.086499996
G2,Control,Phenyalanine,Control,n1,Control,0,0.0801
G3,6,Phenyalanine,p827,n1,2,0,0.125
G4,6,Phenyalanine,sc827,n1,2,0,0.124799997
G5,6,Phenyalanine,sc158b,n1,2,0,0.123800002
G6,6,Phenyalanine,p158b,n1,2,0,0.123599999
G7,4,Lysine,p5642b,n1,2,0,0.135299996
G8,4,Lysine,sc5642b,n1,2,0,0.135399997
G9,4,Lysine,p158b,n1,2,0,0.140799999
G10,4,Lysine,sc158b,n1,2,0,0.140400007
G11,Control,Lysine,Control,n1,Control,0,0.0814
B3,6,Mix_17aa,p827,n1,2,1,0.237000003
B4,6,Mix_17aa,sc827,n1,2,1,0.226999998
B5,6,Mix_17aa,sc5642b,n1,2,1,0.239800006
B6,6,Mix_17aa,p5642b,n1,2,1,0.234699994
C2,Control,Mix_17aa,Control,n1,Control,1,0.079599999
C3,6,Mix_17aa,sc158b,n1,2,1,0.230599999
C4,6,Mix_17aa,p159,n1,2,1,0.228499994
C5,6,Mix_17aa,sc158a,n1,2,1,0.220100001
C6,6,Mix_17aa,p158a,n1,2,1,0.239399999
D2,Control,Mix_17aa,Control,n1,Control,1,0.074299999
D3,6,Mix_17aa,sc159,n1,2,1,0.216700003
D4,6,Mix_17aa,p158b,n1,2,1,0.249500006
D5,6,Mix_17aa,p_mix,n1,10,1,0.221100003
D6,6,Mix_17aa,sc_mix,n1,10,1,0.205599993
E3,6,Phenyalanine,sc5642b,n1,2,1,0.267800003
E4,6,Phenyalanine,p5642b,n1,2,1,0.264999986
E5,6,Phenyalanine,sc158a,n1,2,1,0.265399992
E6,6,Phenyalanine,p158a,n1,2,1,0.261099994
E7,4,Lysine,sc_mix,n1,10,1,0.150800005
E8,4,Lysine,p_mix,n1,10,1,0.154100001
E9,4,Lysine,sc159,n1,2,1,0.160099998
E10,4,Lysine,p159,n1,2,1,0.155200005
F2,Control,Phenyalanine,Control,n1,Control,1,0.080700003
F3,6,Phenyalanine,sc159,n1,2,1,0.256000012
F4,6,Phenyalanine,p159,n1,2,1,0.266499996
F5,6,Phenyalanine,p_mix,n1,10,1,0.287
F6,6,Phenyalanine,sc_mix,n1,10,1,0.260699987
F7,4,Lysine,sc158a,n1,2,1,0.144600004
F8,4,Lysine,p158a,n1,2,1,0.152700007
F9,4,Lysine,p827,n1,2,1,0.147200003
F10,4,Lysine,sc827,n1,2,1,0.148300007
F11,Control,Lysine,Control,n1,Control,1,0.0845
G2,Control,Phenyalanine,Control,n1,Control,1,0.068999998
G3,6,Phenyalanine,p827,n1,2,1,0.239899993
G4,6,Phenyalanine,sc827,n1,2,1,0.250200003
G5,6,Phenyalanine,sc158b,n1,2,1,0.216600001
G6,6,Phenyalanine,p158b,n1,2,1,0.223700002
G7,4,Lysine,p5642b,n1,2,1,0.131099999
G8,4,Lysine,sc5642b,n1,2,1,0.134000003
G9,4,Lysine,p158b,n1,2,1,0.140799999
G10,4,Lysine,sc158b,n1,2,1,0.223100007
G11,Control,Lysine,Control,n1,Control,1,0.131099999
B3,6,Mix_17aa,p827,n1,2,2,0.369399995
B4,6,Mix_17aa,sc827,n1,2,2,0.349400014
B5,6,Mix_17aa,sc5642b,n1,2,2,0.335599989
B6,6,Mix_17aa,p5642b,n1,2,2,0.326999992
C2,Control,Mix_17aa,Control,n1,Control,2,0.076899998
C3,6,Mix_17aa,sc158b,n1,2,2,0.356599987
C4,6,Mix_17aa,p159,n1,2,2,0.352600008
C5,6,Mix_17aa,sc158a,n1,2,2,0.333400011
C6,6,Mix_17aa,p158a,n1,2,2,0.349099994
D2,Control,Mix_17aa,Control,n1,Control,2,0.076499999
D3,6,Mix_17aa,sc159,n1,2,2,0.335599989
D4,6,Mix_17aa,p158b,n1,2,2,0.34709999
D5,6,Mix_17aa,p_mix,n1,10,2,0.345600009
D6,6,Mix_17aa,sc_mix,n1,10,2,0.344099998
E3,6,Phenyalanine,sc5642b,n1,2,2,0.268599987
E4,6,Phenyalanine,p5642b,n1,2,2,0.287800014
E5,6,Phenyalanine,sc158a,n1,2,2,0.285299987
E6,6,Phenyalanine,p158a,n1,2,2,0.277799994
E7,4,Lysine,sc_mix,n1,10,2,0.151199996
E8,4,Lysine,p_mix,n1,10,2,0.152700007
E9,4,Lysine,sc159,n1,2,2,0.159799993
E10,4,Lysine,p159,n1,2,2,0.153799996
F2,Control,Phenyalanine,Control,n1,Control,2,0.083700001
F3,6,Phenyalanine,sc159,n1,2,2,0.265399992
F4,6,Phenyalanine,p159,n1,2,2,0.274100006
F5,6,Phenyalanine,p_mix,n1,10,2,0.330500007
F6,6,Phenyalanine,sc_mix,n1,10,2,0.297899991
F7,4,Lysine,sc158a,n1,2,2,0.144800007
F8,4,Lysine,p158a,n1,2,2,0.146599993
F9,4,Lysine,p827,n1,2,2,0.154899999
F10,4,Lysine,sc827,n1,2,2,0.152199998
F11,Control,Lysine,Control,n1,Control,2,0.080200002
G2,Control,Phenyalanine,Control,n1,Control,2,0.076499999
G3,6,Phenyalanine,p827,n1,2,2,0.25
G4,6,Phenyalanine,sc827,n1,2,2,0.25150001
G5,6,Phenyalanine,sc158b,n1,2,2,0.239299998
G6,6,Phenyalanine,p158b,n1,2,2,0.232199997
G7,4,Lysine,p5642b,n1,2,2,0.136500001
G8,4,Lysine,sc5642b,n1,2,2,0.130999997
G9,4,Lysine,p158b,n1,2,2,0.141900003
G10,4,Lysine,sc158b,n1,2,2,0.209999993
G11,Control,Lysine,Control,n1,Control,2,0.094999999
B3,6,Mix_17aa,p827,n1,2,3,0.456999987
B4,6,Mix_17aa,sc827,n1,2,3,0.435400009
B5,6,Mix_17aa,sc5642b,n1,2,3,0.431699991
B6,6,Mix_17aa,p5642b,n1,2,3,0.433099985
C2,Control,Mix_17aa,Control,n1,Control,3,0.077
C3,6,Mix_17aa,sc158b,n1,2,3,0.435900003
C4,6,Mix_17aa,p159,n1,2,3,0.429199994
C5,6,Mix_17aa,sc158a,n1,2,3,0.413700014
C6,6,Mix_17aa,p158a,n1,2,3,0.423500001
D2,Control,Mix_17aa,Control,n1,Control,3,0.077500001
D3,6,Mix_17aa,sc159,n1,2,3,0.420399994
D4,6,Mix_17aa,p158b,n1,2,3,0.426999986
D5,6,Mix_17aa,p_mix,n1,10,3,0.423799992
D6,6,Mix_17aa,sc_mix,n1,10,3,0.423299998
E3,6,Phenyalanine,sc5642b,n1,2,3,0.282599986
E4,6,Phenyalanine,p5642b,n1,2,3,0.282900006
E5,6,Phenyalanine,sc158a,n1,2,3,0.289099991
E6,6,Phenyalanine,p158a,n1,2,3,0.288800001
E7,4,Lysine,sc_mix,n1,10,3,0.158600003
E8,4,Lysine,p_mix,n1,10,3,0.158800006
E9,4,Lysine,sc159,n1,2,3,0.159400001
E10,4,Lysine,p159,n1,2,3,0.164399996
F2,Control,Phenyalanine,Control,n1,Control,3,0.083700001
F3,6,Phenyalanine,sc159,n1,2,3,0.270599991
F4,6,Phenyalanine,p159,n1,2,3,0.278200001
F5,6,Phenyalanine,p_mix,n1,10,3,0.335399985
F6,6,Phenyalanine,sc_mix,n1,10,3,0.304399997
F7,4,Lysine,sc158a,n1,2,3,0.142299995
F8,4,Lysine,p158a,n1,2,3,0.146599993
F9,4,Lysine,p827,n1,2,3,0.154300004
F10,4,Lysine,sc827,n1,2,3,0.139200002
F11,Control,Lysine,Control,n1,Control,3,0.0823
G2,Control,Phenyalanine,Control,n1,Control,3,0.071400002
G3,6,Phenyalanine,p827,n1,2,3,0.253800005
G4,6,Phenyalanine,sc827,n1,2,3,0.260699987
G5,6,Phenyalanine,sc158b,n1,2,3,0.239399999
G6,6,Phenyalanine,p158b,n1,2,3,0.238100007
G7,4,Lysine,p5642b,n1,2,3,0.145099998
G8,4,Lysine,sc5642b,n1,2,3,0.133499995
G9,4,Lysine,p158b,n1,2,3,0.141900003
G10,4,Lysine,sc158b,n1,2,3,0.216499999
G11,Control,Lysine,Control,n1,Control,3,0.114
B3,6,Mix_17aa,p827,n1,2,4,0.521700025
B4,6,Mix_17aa,sc827,n1,2,4,0.499000013
B5,6,Mix_17aa,sc5642b,n1,2,4,0.494300008
B6,6,Mix_17aa,p5642b,n1,2,4,0.496699989
C2,Control,Mix_17aa,Control,n1,Control,4,0.087800004
C3,6,Mix_17aa,sc158b,n1,2,4,0.498400003
C4,6,Mix_17aa,p159,n1,2,4,0.498199999
C5,6,Mix_17aa,sc158a,n1,2,4,0.476700008
C6,6,Mix_17aa,p158a,n1,2,4,0.491400003
D2,Control,Mix_17aa,Control,n1,Control,4,0.089699998
D3,6,Mix_17aa,sc159,n1,2,4,0.488900006
D4,6,Mix_17aa,p158b,n1,2,4,0.494399995
D5,6,Mix_17aa,p_mix,n1,10,4,0.511300027
D6,6,Mix_17aa,sc_mix,n1,10,4,0.502499998
E3,6,Phenyalanine,sc5642b,n1,2,4,0.287499994
E4,6,Phenyalanine,p5642b,n1,2,4,0.296400011
E5,6,Phenyalanine,sc158a,n1,2,4,0.291299999
E6,6,Phenyalanine,p158a,n1,2,4,0.301099986
E7,4,Lysine,sc_mix,n1,10,4,0.159199998
E8,4,Lysine,p_mix,n1,10,4,0.163299993
E9,4,Lysine,sc159,n1,2,4,0.173299998
E10,4,Lysine,p159,n1,2,4,0.168300003
F2,Control,Phenyalanine,Control,n1,Control,4,0.098800004
F3,6,Phenyalanine,sc159,n1,2,4,0.283300012
F4,6,Phenyalanine,p159,n1,2,4,0.28490001
F5,6,Phenyalanine,p_mix,n1,10,4,0.340700001
F6,6,Phenyalanine,sc_mix,n1,10,4,0.317400008
F7,4,Lysine,sc158a,n1,2,4,0.151600003
F8,4,Lysine,p158a,n1,2,4,0.155000001
F9,4,Lysine,p827,n1,2,4,0.150299996
F10,4,Lysine,sc827,n1,2,4,0.161899999
F11,Control,Lysine,Control,n1,Control,4,0.086300001
G2,Control,Phenyalanine,Control,n1,Control,4,0.079899997
G3,6,Phenyalanine,p827,n1,2,4,0.25909999
G4,6,Phenyalanine,sc827,n1,2,4,0.263799995
